report_period,article_sku,quantity,unit_price,amount,freight
2024-01,ART-0000,7,23.36,163.52,5.78
2024-01,ART-0001,14,33.37,467.18,16.37
2024-01,ART-0002,11,27.99,307.89,10.14
2024-01,ART-0003,7,17.97,125.79,4.07
2024-01,ART-0004,6,21.74,130.44,4.01
2024-01,ART-0005,4,22.7,90.8,3.18
2024-01,ART-0006,14,27.29,382.06,12.04
2024-01,ART-0007,9,21.82,196.38,6.73
2024-01,ART-0008,7,10.14,70.98,2.26
2024-01,ART-0009,5,28.21,141.05,4.58
2024-01,ART-0010,27,36.92,996.84,25.92
2024-01,ART-0011,17,25.81,438.77,13.01
2024-01,ART-0012,10,16.0,160.0,5.48
2024-01,ART-0013,3,25.87,77.61,2.15
2024-01,ART-0014,8,26.02,208.16,7.3
2024-01,ART-0015,22,28.16,619.52,23.38
2024-01,ART-0016,8,42.89,343.12,11.88
2024-01,ART-0017,9,24.2,217.8,5.98
2024-01,ART-0018,23,8.33,191.59,6.59
2024-01,ART-0019,11,15.04,165.44,4.44
2024-01,ART-0020,21,29.37,616.77,21.07
2024-01,ART-0021,8,37.54,300.32,10.45
2024-01,ART-0022,29,13.69,397.01,14.14
2024-01,ART-0023,12,16.14,193.68,7.35
2024-01,ART-0024,10,30.96,309.6,9.28
2024-01,ART-0025,7,25.76,180.32,5.71
2024-01,ART-0026,19,15.93,302.67,10.35
2024-01,ART-0027,10,12.99,129.9,3.95
2024-01,ART-0028,46,27.59,1269.14,45.29
2024-01,ART-0029,10,42.52,425.2,13.17
2024-01,ART-0030,6,44.97,269.82,9.3
2024-01,ART-0031,22,16.77,368.94,10.52
2024-01,ART-0032,13,34.36,446.68,14.5
2024-01,ART-0033,19,21.3,404.7,12.61
2024-01,ART-0034,5,9.9,49.5,1.47
2024-01,ART-0035,12,19.58,234.96,6.26
2024-01,ART-0036,11,28.84,317.24,9.95
2024-01,ART-0038,9,41.22,370.98,11.4
2024-01,ART-0040,7,13.71,95.97,2.8
2024-01,ART-0041,41,16.43,673.63,19.32
2024-01,ART-0043,5,16.56,82.8,2.99
2024-01,ART-0044,46,11.65,535.9,17.24
2024-01,ART-0045,5,14.5,72.5,2.05
2024-01,ART-0046,14,23.47,328.58,10.69
2024-01,ART-0047,9,24.06,216.54,7.14
2024-01,ART-0048,24,14.54,348.96,9.38
2024-01,ART-0049,4,42.09,168.36,5.39
2024-01,ART-0050,11,31.59,347.49,11.91
2024-01,ART-0051,14,7.16,100.24,2.85
2024-01,ART-0052,3,21.06,63.18,2.14
2024-01,ART-0054,17,15.91,270.47,8.11
2024-01,ART-0055,16,15.45,247.2,5.8
2024-01,ART-0056,19,29.06,552.14,17.13
2024-01,ART-0057,55,24.06,1323.3,36.1
2024-01,ART-0058,9,40.11,360.99,10.65
2024-01,ART-0059,11,10.18,111.98,4.54
2024-01,ART-0061,17,19.27,327.59,7.94
2024-01,ART-0062,8,20.36,162.88,5.11
2024-01,ART-0063,15,15.68,235.2,7.43
2024-01,ART-0064,14,12.83,179.62,7.51
2024-01,ART-0065,8,33.05,264.4,7.74
2024-01,ART-0067,12,13.88,166.56,5.61
2024-01,ART-0068,13,73.0,949.0,28.98
2024-01,ART-0069,14,15.19,212.66,5.31
2024-01,ART-0070,5,44.29,221.45,5.86
2024-01,ART-0071,14,7.43,104.02,2.82
2024-01,ART-0072,16,23.29,372.64,12.55
2024-01,ART-0073,9,19.54,175.86,7.0
2024-01,ART-0074,5,22.8,114.0,3.69
2024-01,ART-0075,5,41.44,207.2,5.49
2024-01,ART-0077,3,14.58,43.74,1.35
2024-01,ART-0078,23,19.63,451.49,16.43
2024-01,ART-0081,8,14.28,114.24,3.32
2024-01,ART-0082,18,48.92,880.56,28.0
2024-01,ART-0083,15,18.17,272.55,10.33
2024-01,ART-0084,16,15.81,252.96,7.22
2024-01,ART-0085,33,50.75,1674.75,50.86
2024-01,ART-0086,21,24.41,512.61,14.1
2024-01,ART-0087,5,28.22,141.1,3.82
2024-01,ART-0088,30,21.53,645.9,16.76
2024-01,ART-0089,12,39.78,477.36,11.66
2024-01,ART-0090,11,22.65,249.15,8.11
2024-01,ART-0091,24,20.52,492.48,15.72
2024-01,ART-0092,23,30.55,702.65,21.51
2024-01,ART-0093,6,13.75,82.5,2.22
2024-01,ART-0094,16,11.35,181.6,5.8
2024-01,ART-0095,14,13.51,189.14,5.71
2024-01,ART-0096,13,14.63,190.19,5.57
2024-01,ART-0097,13,30.87,401.31,11.28
2024-01,ART-0098,4,24.19,96.76,3.25
2024-01,ART-0099,4,24.66,98.64,3.13
2024-01,ART-0100,11,9.41,103.51,3.7
2024-01,ART-0101,24,22.7,544.8,18.41
2024-01,ART-0103,16,13.99,223.84,6.6
2024-01,ART-0104,6,21.59,129.54,4.2
2024-01,ART-0105,12,7.16,85.92,2.24
2024-01,ART-0106,48,35.98,1727.04,44.23
2024-01,ART-0107,17,32.87,558.79,14.39
2024-01,ART-0108,5,19.04,95.2,2.6
2024-01,ART-0110,36,11.59,417.24,10.74
2024-01,ART-0111,8,28.14,225.12,5.83
2024-01,ART-0112,4,17.99,71.96,2.31
2024-01,ART-0113,35,17.13,599.55,17.18
2024-01,ART-0114,8,25.09,200.72,4.81
2024-01,ART-0115,9,18.97,170.73,4.7
2024-01,ART-0116,7,13.16,92.12,2.91
2024-01,ART-0118,6,15.72,94.32,2.9
2024-01,ART-0119,5,34.31,171.55,5.49
2024-01,ART-0120,20,10.71,214.2,6.86
2024-01,ART-0121,21,11.5,241.5,7.33
2024-01,ART-0122,11,23.25,255.75,7.35
2024-01,ART-0123,10,17.66,176.6,5.69
2024-01,ART-0124,17,11.52,195.84,5.26
2024-01,ART-0125,29,14.25,413.25,8.04
2024-01,ART-0126,26,17.54,456.04,13.74
2024-01,ART-0127,13,18.66,242.58,5.69
2024-01,ART-0130,8,50.18,401.44,15.32
2024-01,ART-0131,11,34.43,378.73,11.57
2024-01,ART-0132,6,30.98,185.88,5.69
2024-01,ART-0133,6,13.16,78.96,2.08
2024-01,ART-0135,27,13.06,352.62,12.06
2024-01,ART-0136,16,24.41,390.56,13.74
2024-01,ART-0137,12,20.95,251.4,9.08
2024-01,ART-0138,5,15.88,79.4,2.03
2024-01,ART-0139,13,15.88,206.44,6.64
2024-01,ART-0140,5,19.3,96.5,2.84
2024-01,ART-0141,5,18.54,92.7,2.72
2024-01,ART-0142,5,23.06,115.3,2.99
2024-01,ART-0143,10,19.0,190.0,6.5
2024-01,ART-0144,10,19.23,192.3,6.02
2024-01,ART-0145,17,24.01,408.17,12.64
2024-01,ART-0147,7,26.4,184.8,5.52
2024-01,ART-0148,18,28.37,510.66,16.35
2024-01,ART-0149,8,16.68,133.44,4.94
2024-02,ART-0001,17,33.29,565.93,16.97
2024-02,ART-0002,23,28.16,647.68,22.69
2024-02,ART-0003,7,17.71,123.97,4.58
2024-02,ART-0004,5,21.79,108.95,3.72
2024-02,ART-0005,4,22.75,91.0,2.95
2024-02,ART-0006,14,27.01,378.14,12.58
2024-02,ART-0007,6,22.05,132.3,3.5
2024-02,ART-0008,6,10.09,60.54,2.03
2024-02,ART-0009,8,28.79,230.32,6.23
2024-02,ART-0010,14,37.48,524.72,13.02
2024-02,ART-0011,23,25.87,595.01,19.34
2024-02,ART-0012,18,15.49,278.82,7.86
2024-02,ART-0013,2,26.02,52.04,1.54
2024-02,ART-0014,12,25.78,309.36,10.45
2024-02,ART-0015,25,28.54,713.5,18.72
