report_period,article_sku,quantity,unit_price,amount,freight
2025-03,ART-0000,7,23.25,"162,75",5.2
2025-03,ART-0001,20,33.32,"666,40",20.02
2025-03,ART-0002,15,27.92,"418,80",12.88
2025-03,ART-0003,6,17.74,"106,44",2.97
2025-03,ART-0004,5,21.91,"109,55",3.47
2025-03,ART-0005,5,22.8,"114,00",4.2
2025-03,ART-0006,12,27.26,"327,12",10.97
2025-03,ART-0007,8,21.44,"171,52",4.46
2025-03,ART-0008,6,10.17,"61,02",2.05
2025-03,ART-0009,10,28.65,"286,50",8.55
2025-03,ART-0010,17,37.36,"635,12",17.16
2025-03,ART-0011,21,25.64,"538,44",17.24
2025-03,ART-0012,20,15.69,"313,80",10.59
2025-03,ART-0013,3,26.45,"79,35",2.48
2025-03,ART-0015,25,27.83,"695,75",23.8
2025-03,ART-0016,14,43.08,"603,12",20.13
2025-03,ART-0017,6,23.88,"143,28",4.2
2025-03,ART-0018,18,8.46,"152,28",4.09
2025-03,ART-0020,15,29.06,"435,90",10.89
2025-03,ART-0021,10,36.61,"366,10",15.51
2025-03,ART-0022,40,13.7,"548,00",16.06
2025-03,ART-0024,10,30.96,"309,60",11.12
2025-03,ART-0025,5,25.55,"127,75",4.6
2025-03,ART-0027,13,12.92,"167,96",4.17
2025-03,ART-0028,33,27.35,"902,55",22.96
2025-03,ART-0029,13,42.16,"548,08",14.1
2025-03,ART-0030,4,45.43,"181,72",5.14
2025-03,ART-0031,35,16.7,"584,50",18.3
2025-03,ART-0032,13,34.51,"448,63",15.3
2025-03,ART-0033,15,20.72,"310,80",10.23
2025-03,ART-0034,4,9.95,"39,80",1.22
2025-03,ART-0035,10,19.67,"196,70",5.93
2025-03,ART-0036,15,28.49,"427,35",13.27
2025-03,ART-0037,19,23.88,"453,72",13.07
2025-03,ART-0038,7,40.97,"286,79",10.13
2025-03,ART-0039,10,36.81,"368,10",13.1
2025-03,ART-0040,6,13.75,"82,50",2.35
2025-03,ART-0042,4,31.79,"127,16",3.47
2025-03,ART-0043,5,16.82,"84,10",2.03
2025-03,ART-0044,55,11.6,"638,00",19.22
2025-03,ART-0046,11,23.92,"263,12",9.96
2025-03,ART-0047,6,24.1,"144,60",4.37
2025-03,ART-0048,20,14.55,"291,00",11.33
2025-03,ART-0049,5,42.59,"212,95",6.4
2025-03,ART-0050,6,32.74,"196,44",6.28
2025-03,ART-0051,16,7.3,"116,80",3.14
2025-03,ART-0052,5,20.95,"104,75",3.44
2025-03,ART-0053,35,14.98,"524,30",16.83
2025-03,ART-0054,15,16.07,"241,05",9.64
2025-03,ART-0055,16,15.39,"246,24",7.77
2025-03,ART-0056,14,28.49,"398,86",10.04
2025-03,ART-0057,35,24.02,"840,70",28.94
2025-03,ART-0058,12,39.86,"478,32",14.69
2025-03,ART-0059,12,10.44,"125,28",3.69
2025-03,ART-0060,31,10.25,"317,75",9.63
2025-03,ART-0061,8,19.28,"154,24",3.9
2025-03,ART-0063,12,15.71,"188,52",7.37
2025-03,ART-0064,15,12.68,"190,20",7.46
2025-03,ART-0065,12,32.88,"394,56",13.61
2025-03,ART-0066,4,36.85,"147,40",3.32
2025-03,ART-0067,15,13.74,"206,10",6.14
2025-03,ART-0068,18,73.12,"1 316,16",42.45
2025-03,ART-0069,13,15.09,"196,17",4.52
