report_period,article_sku,quantity,unit_price,amount,freight
12/2025,ART-0000,8,23.86,190.88,5.85
12/2025,ART-0002,11,28.69,315.59,9.27
12/2025,ART-0004,6,21.82,130.92,3.83
12/2025,ART-0005,5,22.93,114.65,3.86
12/2025,ART-0006,18,26.94,484.92,12.27
12/2025,ART-0007,8,21.5,172.0,4.85
12/2025,ART-0008,7,10.43,73.01,2.12
12/2025,ART-0010,14,36.61,512.54,9.59
12/2025,ART-0011,17,26.06,443.02,13.15
12/2025,ART-0012,23,15.59,358.57,12.93
12/2025,ART-0013,3,26.13,78.39,2.57
12/2025,ART-0015,20,28.95,579.0,20.28
12/2025,ART-0016,7,42.72,299.04,8.56
12/2025,ART-0017,8,24.0,192.0,4.1
12/2025,ART-0018,20,8.42,168.4,4.95
12/2025,ART-0019,11,15.25,167.75,5.18
12/2025,ART-0020,15,29.29,439.35,16.6
12/2025,ART-0021,10,37.21,372.1,11.72
12/2025,ART-0023,10,16.01,160.1,3.53
12/2025,ART-0024,11,30.83,339.13,10.57
12/2025,ART-0025,7,25.95,181.65,5.09
12/2025,ART-0026,14,16.03,224.42,7.58
12/2025,ART-0027,13,12.94,168.22,6.45
12/2025,ART-0028,45,27.62,1242.9,46.78
12/2025,ART-0029,17,41.95,713.15,22.31
12/2025,ART-0031,20,16.7,334.0,8.33
12/2025,ART-0032,11,34.94,384.34,11.41
12/2025,ART-0033,18,21.13,380.34,10.38
12/2025,ART-0034,4,10.0,40.0,1.66
12/2025,ART-0035,5,19.73,98.65,2.84
12/2025,ART-0036,20,28.02,560.4,16.46
12/2025,ART-0037,21,23.54,494.34,15.6
12/2025,ART-0038,10,40.25,402.5,14.34
12/2025,ART-0039,7,37.21,260.47,8.89
12/2025,ART-0040,8,13.65,109.2,3.43
12/2025,ART-0041,39,16.71,651.69,19.07
12/2025,ART-0042,2,31.23,62.46,1.86
12/2025,ART-0043,3,16.63,49.89,1.66
12/2025,ART-0045,5,14.24,71.2,1.78
12/2025,ART-0046,14,23.76,332.64,7.52
12/2025,ART-0048,13,14.48,188.24,6.68
12/2025,ART-0049,11,42.0,462.0,15.29
12/2025,ART-0050,9,32.97,296.73,8.68
12/2025,ART-0051,15,7.03,105.45,3.3
12/2025,ART-0052,4,21.02,84.08,2.66
12/2025,ART-0053,17,15.14,257.38,8.78
12/2025,ART-0054,13,15.96,207.48,6.22
12/2025,ART-0055,9,15.42,138.78,4.91
12/2025,ART-0056,14,28.08,393.12,9.29
12/2025,ART-0057,38,23.96,910.48,23.8
12/2025,ART-0058,14,39.89,558.46,15.63
12/2025,ART-0060,24,10.33,247.92,7.68
12/2025,ART-0061,15,19.38,290.7,9.14
12/2025,ART-0062,5,20.28,101.4,2.91
12/2025,ART-0063,11,15.47,170.17,6.73
12/2025,ART-0064,13,12.75,165.75,5.32
12/2025,ART-0065,10,33.06,330.6,10.03
12/2025,ART-0066,4,37.77,151.08,4.61
12/2025,ART-0067,11,14.0,154.0,5.66
12/2025,ART-0068,21,72.31,1518.51,46.98
12/2025,ART-0069,8,15.19,121.52,4.35
12/2025,ART-0070,4,43.43,173.72,5.03
12/2025,ART-0071,14,7.42,103.88,2.82
12/2025,ART-0072,20,23.15,463.0,11.76
12/2025,ART-0074,8,22.32,178.56,5.78
12/2025,ART-0076,15,13.12,196.8,6.46
12/2025,ART-0077,3,14.56,43.68,1.4
12/2025,ART-0078,20,20.07,401.4,12.81
12/2025,ART-0079,6,13.58,81.48,2.66
12/2025,ART-0080,9,37.06,333.54,8.91
12/2025,ART-0081,5,14.35,71.75,2.21
12/2025,ART-0082,13,49.81,647.53,24.34
12/2025,ART-0084,20,15.56,311.2,11.3
12/2025,ART-0085,31,50.66,1570.46,36.73
12/2025,ART-0086,18,24.85,447.3,15.38
12/2025,ART-0087,3,27.62,82.86,2.76
12/2025,ART-0088,17,21.34,362.78,11.27
12/2025,ART-0090,9,22.68,204.12,6.7
12/2025,ART-0092,12,30.7,368.4,11.53
12/2025,ART-0093,4,13.85,55.4,2.05
12/2025,ART-0094,8,11.22,89.76,2.92
12/2025,ART-0096,23,14.64,336.72,9.11
12/2025,ART-0097,19,31.18,592.42,17.48
12/2025,ART-0098,5,23.72,118.6,3.18
12/2025,ART-0099,3,24.1,72.3,2.25
12/2025,ART-0100,15,9.71,145.65,4.34
12/2025,ART-0101,24,22.93,550.32,12.74
12/2025,ART-0102,24,21.98,527.52,14.6
12/2025,ART-0103,15,13.96,209.4,5.93
12/2025,ART-0104,8,21.6,172.8,5.28
12/2025,ART-0106,28,35.23,986.44,31.15
12/2025,ART-0107,21,32.87,690.27,18.85
12/2025,ART-0108,8,19.02,152.16,4.39
12/2025,ART-0109,7,20.07,140.49,3.42
12/2025,ART-0110,29,11.4,330.6,9.99
12/2025,ART-0112,8,18.04,144.32,4.4
12/2025,ART-0113,23,17.06,392.38,13.4
12/2025,ART-0115,12,18.9,226.8,7.71
12/2025,ART-0118,10,15.24,152.4,5.33
