invoice date,desc,pcs,unit cost,gross,freight
2025-06,ART-0000,10,23.53,235.3,6.66
2025-06,ART-0001,18,33.52,603.36,20.5
2025-06,ART-0002,10,28.04,280.4,7.05
2025-06,ART-0003,5,18.22,91.1,2.74
2025-06,ART-0004,5,21.48,107.4,3.15
2025-06,ART-0005,6,22.74,136.44,3.81
2025-06,ART-0006,10,27.25,272.5,9.58
2025-06,ART-0007,7,22.02,154.14,4.24
2025-06,ART-0008,7,10.47,73.29,2.47
2025-06,ART-0009,6,28.7,172.2,5.87
2025-06,ART-0010,21,36.78,772.38,25.16
2025-06,ART-0011,13,26.34,342.42,12.26
2025-06,ART-0012,13,15.85,206.05,5.85
2025-06,ART-0014,11,26.14,287.54,9.03
2025-06,ART-0015,30,28.38,851.4,26.31
2025-06,ART-0017,12,24.31,291.72,9.36
2025-06,ART-0018,11,8.44,92.84,2.38
2025-06,ART-0019,20,15.33,306.6,8.98
2025-06,ART-0020,18,29.22,525.96,17.02
2025-06,ART-0021,7,36.74,257.18,8.47
2025-06,ART-0022,49,13.31,652.19,24.82
2025-06,ART-0024,8,31.16,249.28,6.89
2025-06,ART-0025,6,25.63,153.78,5.27
2025-06,ART-0027,16,13.06,208.96,5.64
2025-06,ART-0029,12,42.21,506.52,14.89
2025-06,ART-0031,21,16.83,353.43,13.06
2025-06,ART-0033,10,20.69,206.9,6.02
2025-06,ART-0034,3,10.04,30.12,1.01
2025-06,ART-0035,9,19.77,177.93,5.96
2025-06,ART-0036,10,28.34,283.4,9.32
2025-06,ART-0037,18,23.48,422.64,11.99
2025-06,ART-0038,14,42.14,589.96,15.73
2025-06,ART-0039,9,37.02,333.18,9.98
2025-06,ART-0040,9,13.66,122.94,3.49
2025-06,ART-0041,29,16.64,482.56,17.17
2025-06,ART-0042,3,31.22,93.66,3.0
2025-06,ART-0043,5,16.81,84.05,2.56
2025-06,ART-0044,37,11.78,435.86,12.67
2025-06,ART-0045,9,14.49,130.41,4.32
2025-06,ART-0046,10,23.87,238.7,7.81
2025-06,ART-0047,5,24.25,121.25,4.08
2025-06,ART-0048,18,14.7,264.6,6.76
2025-06,ART-0049,5,41.94,209.7,7.68
2025-06,ART-0050,12,33.21,398.52,13.18
2025-06,ART-0051,10,7.11,71.1,2.43
2025-06,ART-0052,4,21.0,84.0,2.96
2025-06,ART-0055,11,15.5,170.5,5.17
2025-06,ART-0056,19,29.16,554.04,19.9
2025-06,ART-0057,38,24.16,918.08,23.61
2025-06,ART-0058,16,39.57,633.12,22.23
2025-06,ART-0059,15,10.3,154.5,5.51
2025-06,ART-0060,37,10.26,379.62,13.67
2025-06,ART-0061,5,18.99,94.95,2.83
2025-06,ART-0062,7,20.41,142.87,4.61
2025-06,ART-0063,10,15.59,155.9,4.91
2025-06,ART-0064,12,12.54,150.48,5.43
2025-06,ART-0065,16,33.22,531.52,21.19
2025-06,ART-0066,6,37.29,223.74,7.85
2025-06,ART-0070,5,43.55,217.75,5.77
2025-06,ART-0071,15,7.45,111.75,3.22
2025-06,ART-0072,11,23.26,255.86,7.97
2025-06,ART-0073,10,19.34,193.4,4.9
2025-06,ART-0074,6,22.05,132.3,3.83
2025-06,ART-0075,6,40.67,244.02,6.87
2025-06,ART-0076,9,13.24,119.16,3.59
2025-06,ART-0077,6,14.54,87.24,3.11
2025-06,ART-0078,18,19.72,354.96,11.02
2025-06,ART-0079,5,13.72,68.6,2.05
2025-06,ART-0080,15,37.35,560.25,14.37
2025-06,ART-0083,30,18.17,545.1,14.48
2025-06,ART-0084,13,15.29,198.77,5.93
2025-06,ART-0085,22,50.92,1120.24,39.11
2025-06,ART-0086,15,24.96,374.4,13.06
2025-06,ART-0088,20,21.61,432.2,11.76
2025-06,ART-0089,11,39.39,433.29,12.99
