freight,amount,unit_price,quantity,article_sku,report_period
6.71,209.16,23.24,9,ART-0000,2025-09
15.36,604.44,33.58,18,ART-0001,2025-09
10.7,366.6,28.2,13,ART-0002,2025-09
2.89,128.28,21.38,6,ART-0004,2025-09
4.4,134.94,22.49,6,ART-0005,2025-09
8.89,273.6,27.36,10,ART-0006,2025-09
3.61,130.68,21.78,6,ART-0007,2025-09
3.21,83.12,10.39,8,ART-0008,2025-09
6.33,196.63,28.09,7,ART-0009,2025-09
29.35,1079.38,37.22,29,ART-0010,2025-09
14.1,490.58,25.82,19,ART-0011,2025-09
8.16,252.96,15.81,16,ART-0012,2025-09
10.29,324.22,24.94,13,ART-0014,2025-09
19.21,666.54,28.98,23,ART-0015,2025-09
17.51,507.72,42.31,12,ART-0016,2025-09
6.38,197.44,24.68,8,ART-0017,2025-09
4.91,158.46,8.34,19,ART-0018,2025-09
3.4,154.8,15.48,10,ART-0019,2025-09
12.74,354.24,29.52,12,ART-0020,2025-09
9.33,291.52,36.44,8,ART-0021,2025-09
12.65,379.96,13.57,28,ART-0022,2025-09
4.64,145.98,16.22,9,ART-0023,2025-09
12.54,429.24,30.66,14,ART-0024,2025-09
7.22,305.9,16.1,19,ART-0026,2025-09
4.5,156.0,13.0,12,ART-0027,2025-09
14.07,471.24,42.84,11,ART-0029,2025-09
4.07,178.24,44.56,4,ART-0030,2025-09
14.33,476.28,34.02,14,ART-0032,2025-09
10.08,275.47,21.19,13,ART-0033,2025-09
0.61,20.22,10.11,2,ART-0034,2025-09
4.95,157.68,19.71,8,ART-0035,2025-09
11.95,399.42,28.53,14,ART-0036,2025-09
17.95,514.58,23.39,22,ART-0037,2025-09
8.94,290.64,36.33,8,ART-0039,2025-09
16.67,629.28,16.56,38,ART-0041,2025-09
3.57,126.64,31.66,4,ART-0042,2025-09
1.74,67.68,16.92,4,ART-0043,2025-09
8.45,335.53,11.57,29,ART-0044,2025-09
2.48,72.05,14.41,5,ART-0045,2025-09
13.11,330.12,23.58,14,ART-0046,2025-09
9.97,297.99,42.57,7,ART-0049,2025-09
11.05,330.5,33.05,10,ART-0050,2025-09
3.47,136.23,7.17,19,ART-0051,2025-09
2.58,84.56,21.14,4,ART-0052,2025-09
11.28,401.7,15.45,26,ART-0053,2025-09
8.72,217.98,15.57,14,ART-0054,2025-09
5.99,214.62,15.33,14,ART-0055,2025-09
17.61,628.1,28.55,22,ART-0056,2025-09
16.09,524.7,23.85,22,ART-0057,2025-09
11.78,559.02,39.93,14,ART-0058,2025-09
4.46,160.96,10.06,16,ART-0059,2025-09
6.29,233.52,19.46,12,ART-0061,2025-09
7.47,233.55,15.57,15,ART-0063,2025-09
5.1,152.28,12.69,12,ART-0064,2025-09
12.0,453.74,32.41,14,ART-0065,2025-09
6.75,226.62,37.77,6,ART-0066,2025-09
9.4,345.75,13.83,25,ART-0067,2025-09
19.29,789.25,71.75,11,ART-0068,2025-09
6.11,151.1,15.11,10,ART-0069,2025-09
13.4,346.4,43.3,8,ART-0070,2025-09
2.66,73.7,7.37,10,ART-0071,2025-09
13.35,444.98,23.42,19,ART-0072,2025-09
3.28,135.78,22.63,6,ART-0074,2025-09
7.34,283.08,40.44,7,ART-0075,2025-09
2.01,58.52,14.63,4,ART-0077,2025-09
9.91,319.2,19.95,16,ART-0078,2025-09
28.38,957.32,36.82,26,ART-0080,2025-09
17.24,605.16,50.43,12,ART-0082,2025-09
11.57,360.0,18.0,20,ART-0083,2025-09
6.33,190.32,15.86,12,ART-0084,2025-09
6.64,190.89,27.27,7,ART-0087,2025-09
15.78,536.5,21.46,25,ART-0088,2025-09
5.54,204.3,22.7,9,ART-0090,2025-09
12.09,422.94,20.14,21,ART-0091,2025-09
3.9,138.8,13.88,10,ART-0093,2025-09
2.51,79.94,11.42,7,ART-0094,2025-09
6.86,241.74,13.43,18,ART-0095,2025-09
11.01,375.44,14.44,26,ART-0096,2025-09
18.28,496.32,31.02,16,ART-0097,2025-09
5.23,144.6,24.1,6,ART-0099,2025-09
2.95,96.7,9.67,10,ART-0100,2025-09
11.28,404.1,22.45,18,ART-0101,2025-09
16.06,476.28,22.68,21,ART-0102,2025-09
6.13,222.08,13.88,16,ART-0103,2025-09
4.9,214.4,21.44,10,ART-0104,2025-09
1.34,43.26,7.21,6,ART-0105,2025-09
17.75,592.92,32.94,18,ART-0107,2025-09
3.7,115.5,19.25,6,ART-0108,2025-09
3.2,121.14,20.19,6,ART-0109,2025-09
11.88,387.75,11.75,33,ART-0110,2025-09
19.6,665.76,27.74,24,ART-0111,2025-09
4.92,142.72,17.84,8,ART-0112,2025-09
11.08,391.69,17.03,23,ART-0113,2025-09
6.44,227.88,25.32,9,ART-0114,2025-09
3.03,95.7,19.14,5,ART-0115,2025-09
4.59,185.08,13.22,14,ART-0116,2025-09
19.55,796.11,37.91,21,ART-0117,2025-09
5.22,155.3,15.53,10,ART-0118,2025-09
4.46,175.1,35.02,5,ART-0119,2025-09
3.64,117.7,10.7,11,ART-0120,2025-09
10.2,267.95,11.65,23,ART-0121,2025-09
18.39,505.78,22.99,22,ART-0122,2025-09
3.52,124.46,17.78,7,ART-0123,2025-09
5.88,235.2,11.76,20,ART-0124,2025-09
7.42,245.31,14.43,17,ART-0125,2025-09
4.47,142.4,17.8,8,ART-0126,2025-09
9.06,260.12,18.58,14,ART-0127,2025-09
4.04,147.0,9.8,15,ART-0128,2025-09
12.44,324.36,36.04,9,ART-0129,2025-09
10.15,301.5,50.25,6,ART-0130,2025-09
8.8,273.52,34.19,8,ART-0131,2025-09
2.74,93.31,13.33,7,ART-0133,2025-09
4.37,119.28,17.04,7,ART-0134,2025-09
6.11,197.25,13.15,15,ART-0135,2025-09
18.09,584.16,24.34,24,ART-0136,2025-09
2.94,127.5,21.25,6,ART-0137,2025-09
5.28,195.36,16.28,12,ART-0139,2025-09
3.63,133.84,19.12,7,ART-0140,2025-09
2.7,74.2,18.55,4,ART-0141,2025-09
5.17,172.89,19.21,9,ART-0144,2025-09
11.79,383.36,23.96,16,ART-0145,2025-09
2.43,92.4,11.55,8,ART-0146,2025-09
12.49,362.46,25.89,14,ART-0147,2025-09
31.35,1021.68,28.38,36,ART-0148,2025-09
3.3,117.32,16.76,7,ART-0149,2025-09
