report_period,article_sku,quantity,unit_price,amount,freight
2025-03,ART-0000,7,23.25,168.38,5.2
2025-03,ART-0001,20,33.32,688.09,20.02
2025-03,ART-0002,15,27.92,432.75,12.88
2025-03,ART-0003,6,17.74,109.66,2.97
2025-03,ART-0004,5,21.91,113.31,3.47
2025-03,ART-0005,5,22.8,118.55,4.2
2025-03,ART-0006,12,27.26,339.0,10.97
2025-03,ART-0007,8,21.44,176.35,4.46
2025-03,ART-0008,6,10.17,63.24,2.05
2025-03,ART-0009,10,28.65,295.76,8.55
2025-03,ART-0010,17,37.36,653.71,17.16
2025-03,ART-0011,21,25.64,557.12,17.24
2025-03,ART-0012,20,15.69,325.27,10.59
2025-03,ART-0013,3,26.45,82.04,2.48
2025-03,ART-0015,25,27.83,721.53,23.8
2025-03,ART-0016,14,43.08,624.93,20.13
2025-03,ART-0017,6,23.88,147.83,4.2
2025-03,ART-0018,18,8.46,156.71,4.09
2025-03,ART-0020,15,29.06,447.7,10.89
2025-03,ART-0021,10,36.61,382.9,15.51
2025-03,ART-0022,40,13.7,565.4,16.06
2025-03,ART-0024,10,30.96,321.65,11.12
2025-03,ART-0025,5,25.55,132.73,4.6
2025-03,ART-0027,13,12.92,172.48,4.17
2025-03,ART-0028,33,27.35,927.42,22.96
2025-03,ART-0029,13,42.16,563.35,14.1
2025-03,ART-0030,4,45.43,187.29,5.14
2025-03,ART-0031,35,16.7,604.32,18.3
2025-03,ART-0032,13,34.51,465.2,15.3
2025-03,ART-0033,15,20.72,321.88,10.23
2025-03,ART-0034,4,9.95,41.12,1.22
2025-03,ART-0035,10,19.67,203.12,5.93
2025-03,ART-0036,15,28.49,441.73,13.27
2025-03,ART-0037,19,23.88,467.88,13.07
2025-03,ART-0038,7,40.97,297.76,10.13
2025-03,ART-0039,10,36.81,382.29,13.1
2025-03,ART-0040,6,13.75,85.05,2.35
2025-03,ART-0042,4,31.79,130.92,3.47
2025-03,ART-0043,5,16.82,86.3,2.03
2025-03,ART-0044,55,11.6,658.82,19.22
2025-03,ART-0046,11,23.92,273.91,9.96
2025-03,ART-0047,6,24.1,149.33,4.37
2025-03,ART-0048,20,14.55,303.27,11.33
2025-03,ART-0049,5,42.59,219.88,6.4
2025-03,ART-0050,6,32.74,203.24,6.28
2025-03,ART-0051,16,7.3,120.2,3.14
2025-03,ART-0052,5,20.95,108.48,3.44
2025-03,ART-0053,35,14.98,542.53,16.83
2025-03,ART-0054,15,16.07,251.49,9.64
2025-03,ART-0055,16,15.39,254.66,7.77
2025-03,ART-0056,14,28.49,409.74,10.04
2025-03,ART-0057,35,24.02,872.05,28.94
2025-03,ART-0058,12,39.86,494.23,14.69
2025-03,ART-0059,12,10.44,129.28,3.69
2025-03,ART-0060,31,10.25,328.18,9.63
2025-03,ART-0061,8,19.28,158.46,3.9
2025-03,ART-0063,12,15.71,196.5,7.37
2025-03,ART-0064,15,12.68,198.28,7.46
2025-03,ART-0065,12,32.88,409.3,13.61
2025-03,ART-0066,4,36.85,151.0,3.32
2025-03,ART-0067,15,13.74,212.75,6.14
2025-03,ART-0068,18,73.12,1362.15,42.45
2025-03,ART-0069,13,15.09,201.07,4.52
2025-03,ART-0070,9,42.99,400.96,12.97
2025-03,ART-0072,11,23.48,267.22,8.25
2025-03,ART-0073,10,19.21,198.36,5.78
2025-03,ART-0074,9,22.85,212.36,6.19
2025-03,ART-0076,9,13.25,123.06,3.52
2025-03,ART-0077,6,14.73,92.08,3.42
2025-03,ART-0078,20,20.1,413.06,10.21
2025-03,ART-0079,6,13.77,85.06,2.25
2025-03,ART-0081,4,14.2,58.24,1.33
2025-03,ART-0082,17,49.47,868.22,25.14
2025-03,ART-0083,18,18.14,338.9,11.43
2025-03,ART-0084,21,15.66,340.4,10.65
2025-03,ART-0085,30,50.45,1561.76,44.55
2025-03,ART-0088,23,21.37,509.24,16.37
2025-03,ART-0089,8,39.22,324.05,9.5
2025-03,ART-0090,21,22.68,492.97,15.41
2025-03,ART-0091,20,20.37,423.82,15.16
2025-03,ART-0092,24,31.16,769.93,20.39
2025-03,ART-0093,8,13.84,113.99,3.02
2025-03,ART-0094,13,11.51,154.46,4.46
2025-03,ART-0095,17,13.71,239.75,6.17
2025-03,ART-0099,3,24.48,75.69,2.08
2025-03,ART-0100,7,9.73,70.25,1.98
2025-03,ART-0101,15,22.47,350.35,12.28
2025-03,ART-0102,13,22.51,300.62,7.38
2025-03,ART-0103,17,14.06,246.26,6.68
2025-03,ART-0105,9,7.15,66.55,2.03
2025-03,ART-0106,20,35.62,735.36,21.19
2025-03,ART-0107,18,33.42,622.39,19.23
2025-03,ART-0108,6,19.15,119.2,3.97
2025-03,ART-0109,5,20.21,104.47,3.16
2025-03,ART-0110,24,11.58,287.51,8.85
2025-03,ART-0111,15,27.8,430.92,12.85
2025-03,ART-0112,5,17.92,92.2,2.4
2025-03,ART-0113,43,17.26,770.15,25.82
2025-03,ART-0114,5,25.37,130.89,3.73
2025-03,ART-0115,6,19.16,119.42,4.12
2025-03,ART-0116,13,13.0,175.46,5.96
2025-03,ART-0117,29,37.1,1110.64,32.07
2025-03,ART-0118,9,15.72,145.05,3.3
2025-03,ART-0119,5,34.57,179.44,6.08
2025-03,ART-0120,15,10.62,164.98,5.24
2025-03,ART-0121,19,11.6,228.16,7.16
2025-03,ART-0122,11,23.23,263.29,7.16
2025-03,ART-0123,7,17.96,129.48,3.47
2025-03,ART-0124,15,11.51,177.94,4.88
2025-03,ART-0125,33,14.32,485.81,12.23
2025-03,ART-0126,12,17.95,221.9,6.0
2025-03,ART-0127,11,19.05,216.53,6.44
2025-03,ART-0128,10,9.66,99.8,2.95
2025-03,ART-0129,10,36.51,378.22,12.11
2025-03,ART-0130,7,49.53,358.94,11.29
2025-03,ART-0131,7,34.18,247.98,8.05
2025-03,ART-0132,8,30.61,252.3,6.85
2025-03,ART-0133,8,13.21,108.96,3.03
2025-03,ART-0134,5,17.08,87.92,2.33
2025-03,ART-0135,19,13.12,256.32,6.5
2025-03,ART-0136,18,24.38,456.31,16.13
2025-03,ART-0137,5,20.98,108.59,3.41
2025-03,ART-0138,11,16.11,183.17,5.5
2025-03,ART-0139,18,16.27,303.61,9.92
2025-03,ART-0140,4,19.04,78.43,2.1
2025-03,ART-0141,5,18.55,96.03,3.03
2025-03,ART-0143,8,19.19,158.2,4.32
2025-03,ART-0144,9,19.35,180.66,6.01
2025-03,ART-0145,16,23.94,397.2,13.07
2025-03,ART-0147,11,26.28,299.56,9.67
2025-03,ART-0148,28,28.5,822.97,23.05
2025-03,ART-0149,12,16.64,206.88,6.65
