report_period,article_sku,quantity,unit_price,amount,freight
2025-07,ART-0001,13,33.01,655.5,12.47
2025-07,ART-0002,13,28.18,548.06,10.01
2025-07,ART-0003,7,17.81,174.23,2.73
2025-07,ART-0004,6,21.51,187.51,3.22
2025-07,ART-0005,5,22.56,169.08,3.1
2025-07,ART-0006,8,27.17,321.56,5.74
2025-07,ART-0007,5,21.94,172.69,3.47
2025-07,ART-0008,6,10.23,94.6,1.83
2025-07,ART-0009,7,28.67,316.69,6.39
2025-07,ART-0010,14,37.17,791.41,14.93
2025-07,ART-0011,15,25.63,617.72,12.85
2025-07,ART-0014,9,26.55,354.59,6.37
2025-07,ART-0017,7,23.99,257.06,4.91
2025-07,ART-0018,9,8.37,119.26,2.42
2025-07,ART-0019,13,15.21,322.08,6.85
2025-07,ART-0020,14,29.06,603.44,10.83
2025-07,ART-0021,11,37.39,685.41,15.1
2025-07,ART-0022,54,13.6,1208.21,26.1
2025-07,ART-0023,7,16.11,183.93,3.92
2025-07,ART-0024,15,31.03,715.61,13.78
2025-07,ART-0025,6,25.35,250.67,5.43
2025-07,ART-0026,20,16.02,447.84,7.02
2025-07,ART-0027,9,12.81,180.1,3.57
2025-07,ART-0029,14,42.0,945.81,19.71
2025-07,ART-0030,4,44.58,290.33,6.17
2025-07,ART-0031,23,16.42,592.05,11.81
2025-07,ART-0032,12,34.61,673.46,14.22
2025-07,ART-0033,12,20.66,386.98,7.66
2025-07,ART-0034,3,9.99,42.31,0.68
2025-07,ART-0035,6,19.13,185.58,3.9
2025-07,ART-0036,8,28.9,342.12,6.11
2025-07,ART-0037,14,23.48,536.76,11.46
2025-07,ART-0038,12,41.33,746.12,13.78
2025-07,ART-0039,9,36.51,535.0,11.37
2025-07,ART-0040,8,13.5,186.97,4.35
2025-07,ART-0041,21,16.36,571.2,12.54
2025-07,ART-0042,3,31.43,147.66,2.94
2025-07,ART-0043,6,16.73,162.83,3.44
2025-07,ART-0044,33,11.57,575.51,10.67
2025-07,ART-0045,5,14.25,111.37,2.21
2025-07,ART-0046,13,23.92,540.78,12.66
2025-07,ART-0047,7,24.4,283.71,6.22
2025-07,ART-0049,7,42.6,483.0,10.18
2025-07,ART-0050,9,32.94,450.4,8.48
2025-07,ART-0051,15,7.31,157.94,2.66
2025-07,ART-0052,5,21.06,181.0,4.17
2025-07,ART-0053,17,15.22,418.13,8.78
2025-07,ART-0054,20,15.83,483.07,9.17
2025-07,ART-0057,22,24.02,855.75,18.03
2025-07,ART-0059,17,10.31,290.36,6.34
2025-07,ART-0060,31,10.24,487.18,9.35
2025-07,ART-0061,10,19.73,321.47,6.84
2025-07,ART-0062,7,20.69,244.86,5.51
2025-07,ART-0063,11,15.63,290.47,6.53
2025-07,ART-0064,21,12.38,401.03,7.77
2025-07,ART-0065,17,32.7,884.84,18.12
