report_period,article_sku,quantity,unit_price,amount
2025-03,ART-0000,7,23.25,162.75
2025-03,ART-0001,20,33.32,666.4
2025-03,ART-0002,15,27.92,418.8
2025-03,ART-0003,6,17.74,106.44
2025-03,ART-0004,5,21.91,109.55
2025-03,ART-0005,5,22.8,114.0
2025-03,ART-0006,12,27.26,327.12
2025-03,ART-0007,8,21.44,171.52
2025-03,ART-0008,6,10.17,61.02
2025-03,ART-0009,10,28.65,286.5
2025-03,ART-0010,17,37.36,635.12
2025-03,ART-0011,21,25.64,538.44
2025-03,ART-0012,20,15.69,313.8
2025-03,ART-0013,3,26.45,79.35
2025-03,ART-0015,25,27.83,695.75
2025-03,ART-0016,14,43.08,603.12
2025-03,ART-0017,6,23.88,143.28
2025-03,ART-0018,18,8.46,152.28
2025-03,ART-0020,15,29.06,435.9
2025-03,ART-0021,10,36.61,366.1
2025-03,ART-0022,40,13.7,548.0
2025-03,ART-0024,10,30.96,309.6
2025-03,ART-0025,5,25.55,127.75
2025-03,ART-0027,13,12.92,167.96
2025-03,ART-0028,33,27.35,902.55
2025-03,ART-0029,13,42.16,548.08
2025-03,ART-0030,4,45.43,181.72
2025-03,ART-0031,35,16.7,584.5
2025-03,ART-0032,13,34.51,448.63
2025-03,ART-0033,15,20.72,310.8
2025-03,ART-0034,4,9.95,39.8
2025-03,ART-0035,10,19.67,196.7
2025-03,ART-0036,15,28.49,427.35
2025-03,ART-0037,19,23.88,453.72
2025-03,ART-0038,7,40.97,286.79
2025-03,ART-0039,10,36.81,368.1
2025-03,ART-0040,6,13.75,82.5
2025-03,ART-0042,4,31.79,127.16
2025-03,ART-0043,5,16.82,84.1
2025-03,ART-0044,55,11.6,638.0
2025-03,ART-0046,11,23.92,263.12
2025-03,ART-0047,6,24.1,144.6
2025-03,ART-0048,20,14.55,291.0
2025-03,ART-0049,5,42.59,212.95
2025-03,ART-0050,6,32.74,196.44
2025-03,ART-0051,16,7.3,116.8
2025-03,ART-0052,5,20.95,104.75
2025-03,ART-0053,35,14.98,524.3
2025-03,ART-0054,15,16.07,241.05
2025-03,ART-0055,16,15.39,246.24
2025-03,ART-0056,14,28.49,398.86
2025-03,ART-0057,35,24.02,840.7
2025-03,ART-0058,12,39.86,478.32
2025-03,ART-0059,12,10.44,125.28
2025-03,ART-0060,31,10.25,317.75
2025-03,ART-0061,8,19.28,154.24
2025-03,ART-0063,12,15.71,188.52
2025-03,ART-0064,15,12.68,190.2
2025-03,ART-0065,12,32.88,394.56
2025-03,ART-0066,4,36.85,147.4
2025-03,ART-0067,15,13.74,206.1
2025-03,ART-0068,18,73.12,1316.16
2025-03,ART-0069,13,15.09,196.17
2025-03,ART-0070,9,42.99,386.91
2025-03,ART-0072,11,23.48,258.28
2025-03,ART-0073,10,19.21,192.1
2025-03,ART-0074,9,22.85,205.65
2025-03,ART-0076,9,13.25,119.25
2025-03,ART-0077,6,14.73,88.38
2025-03,ART-0078,20,20.1,402.0
2025-03,ART-0079,6,13.77,82.62
2025-03,ART-0081,4,14.2,56.8
2025-03,ART-0082,17,49.47,840.99
2025-03,ART-0083,18,18.14,326.52
2025-03,ART-0084,21,15.66,328.86
2025-03,ART-0085,30,50.45,1513.5
2025-03,ART-0088,23,21.37,491.51
2025-03,ART-0089,8,39.22,313.76
2025-03,ART-0090,21,22.68,476.28
2025-03,ART-0091,20,20.37,407.4
2025-03,ART-0092,24,31.16,747.84
2025-03,ART-0093,8,13.84,110.72
2025-03,ART-0094,13,11.51,149.63
2025-03,ART-0095,17,13.71,233.07
2025-03,ART-0099,3,24.48,73.44
2025-03,ART-0100,7,9.73,68.11
2025-03,ART-0101,15,22.47,337.05
2025-03,ART-0102,13,22.51,292.63
2025-03,ART-0103,17,14.06,239.02
2025-03,ART-0105,9,7.15,64.35
2025-03,ART-0106,20,35.62,712.4
2025-03,ART-0107,18,33.42,601.56
2025-03,ART-0108,6,19.15,114.9
2025-03,ART-0109,5,20.21,101.05
2025-03,ART-0110,24,11.58,277.92
2025-03,ART-0111,15,27.8,417.0
2025-03,ART-0112,5,17.92,89.6
2025-03,ART-0113,43,17.26,742.18
2025-03,ART-0114,5,25.37,126.85
2025-03,ART-0115,6,19.16,114.96
2025-03,ART-0116,13,13.0,169.0
2025-03,ART-0117,29,37.1,1075.9
2025-03,ART-0118,9,15.72,141.48
2025-03,ART-0119,5,34.57,172.85
2025-03,ART-0120,15,10.62,159.3
2025-03,ART-0121,19,11.6,220.4
2025-03,ART-0122,11,23.23,255.53
2025-03,ART-0123,7,17.96,125.72
2025-03,ART-0124,15,11.51,172.65
2025-03,ART-0125,33,14.32,472.56
2025-03,ART-0126,12,17.95,215.4
2025-03,ART-0127,11,19.05,209.55
2025-03,ART-0128,10,9.66,96.6
2025-03,ART-0129,10,36.51,365.1
2025-03,ART-0130,7,49.53,346.71
2025-03,ART-0131,7,34.18,239.26
2025-03,ART-0132,8,30.61,244.88
2025-03,ART-0133,8,13.21,105.68
2025-03,ART-0134,5,17.08,85.4
2025-03,ART-0135,19,13.12,249.28
2025-03,ART-0136,18,24.38,438.84
2025-03,ART-0137,5,20.98,104.9
2025-03,ART-0138,11,16.11,177.21
2025-03,ART-0139,18,16.27,292.86
2025-03,ART-0140,4,19.04,76.16
2025-03,ART-0141,5,18.55,92.75
2025-03,ART-0143,8,19.19,153.52
2025-03,ART-0144,9,19.35,174.15
2025-03,ART-0145,16,23.94,383.04
2025-03,ART-0147,11,26.28,289.08
2025-03,ART-0148,28,28.5,798.0
2025-03,ART-0149,12,16.64,199.68
