report_period,article_sku,quantity,unit_price,amount,freight
2025-12,ART-0000,4,23.86,95.44,2.92
2025-12,ART-0000,4,23.86,95.44,2.93
2025-12,ART-0002,5,28.69,157.79,4.64
2025-12,ART-0002,6,28.69,157.8,4.63
2025-12,ART-0004,3,21.82,65.46,1.92
2025-12,ART-0004,3,21.82,65.46,1.91
2025-12,ART-0005,2,22.93,57.32,1.93
2025-12,ART-0005,3,22.93,57.33,1.93
2025-12,ART-0006,9,26.94,242.46,6.14
2025-12,ART-0006,9,26.94,242.46,6.13
2025-12,ART-0007,4,21.5,86.0,2.42
2025-12,ART-0007,4,21.5,86.0,2.43
2025-12,ART-0008,3,10.43,36.51,1.06
2025-12,ART-0008,4,10.43,36.5,1.06
2025-12,ART-0010,7,36.61,256.27,4.79
2025-12,ART-0010,7,36.61,256.27,4.8
2025-12,ART-0011,9,26.06,221.51,6.57
2025-12,ART-0011,8,26.06,221.51,6.58
2025-12,ART-0012,12,15.59,179.29,6.47
2025-12,ART-0012,11,15.59,179.28,6.46
2025-12,ART-0013,2,26.13,39.19,1.29
2025-12,ART-0013,1,26.13,39.2,1.28
2025-12,ART-0015,10,28.95,289.5,10.14
2025-12,ART-0015,10,28.95,289.5,10.14
2025-12,ART-0016,3,42.72,149.52,4.28
2025-12,ART-0016,4,42.72,149.52,4.28
2025-12,ART-0017,4,24.0,96.0,2.05
2025-12,ART-0017,4,24.0,96.0,2.05
2025-12,ART-0018,10,8.42,84.2,2.48
2025-12,ART-0018,10,8.42,84.2,2.47
2025-12,ART-0019,6,15.25,83.87,2.59
2025-12,ART-0019,5,15.25,83.88,2.59
2025-12,ART-0020,7,29.29,219.68,8.3
2025-12,ART-0020,8,29.29,219.67,8.3
2025-12,ART-0021,5,37.21,186.05,5.86
2025-12,ART-0021,5,37.21,186.05,5.86
2025-12,ART-0023,5,16.01,80.05,1.76
2025-12,ART-0023,5,16.01,80.05,1.77
2025-12,ART-0024,6,30.83,169.57,5.29
2025-12,ART-0024,5,30.83,169.56,5.28
2025-12,ART-0025,3,25.95,90.82,2.54
2025-12,ART-0025,4,25.95,90.83,2.55
2025-12,ART-0026,7,16.03,112.21,3.79
2025-12,ART-0026,7,16.03,112.21,3.79
2025-12,ART-0027,6,12.94,84.11,3.22
2025-12,ART-0027,7,12.94,84.11,3.23
2025-12,ART-0028,23,27.62,621.45,23.39
2025-12,ART-0028,22,27.62,621.45,23.39
2025-12,ART-0029,9,41.95,356.57,11.15
2025-12,ART-0029,8,41.95,356.58,11.16
2025-12,ART-0031,10,16.7,167.0,4.17
2025-12,ART-0031,10,16.7,167.0,4.16
2025-12,ART-0032,5,34.94,192.17,5.7
2025-12,ART-0032,6,34.94,192.17,5.71
2025-12,ART-0033,9,21.13,190.17,5.19
2025-12,ART-0033,9,21.13,190.17,5.19
2025-12,ART-0034,2,10.0,20.0,0.83
2025-12,ART-0034,2,10.0,20.0,0.83
2025-12,ART-0035,3,19.73,49.33,1.42
2025-12,ART-0035,2,19.73,49.32,1.42
2025-12,ART-0036,10,28.02,280.2,8.23
2025-12,ART-0036,10,28.02,280.2,8.23
2025-12,ART-0037,11,23.54,247.17,7.8
2025-12,ART-0037,10,23.54,247.17,7.8
2025-12,ART-0038,5,40.25,201.25,7.17
2025-12,ART-0038,5,40.25,201.25,7.17
2025-12,ART-0039,3,37.21,130.24,4.44
2025-12,ART-0039,4,37.21,130.23,4.45
2025-12,ART-0040,4,13.65,54.6,1.72
2025-12,ART-0040,4,13.65,54.6,1.71
2025-12,ART-0041,19,16.71,325.85,9.54
2025-12,ART-0041,20,16.71,325.84,9.53
2025-12,ART-0042,1,31.23,31.23,0.93
2025-12,ART-0042,1,31.23,31.23,0.93
2025-12,ART-0043,1,16.63,24.94,0.83
2025-12,ART-0043,2,16.63,24.95,0.83
2025-12,ART-0045,2,14.24,35.6,0.89
2025-12,ART-0045,3,14.24,35.6,0.89
2025-12,ART-0046,7,23.76,166.32,3.76
2025-12,ART-0046,7,23.76,166.32,3.76
2025-12,ART-0048,7,14.48,94.12,3.34
2025-12,ART-0048,6,14.48,94.12,3.34
2025-12,ART-0049,5,42.0,231.0,7.64
2025-12,ART-0049,6,42.0,231.0,7.65
2025-12,ART-0050,4,32.97,148.36,4.34
2025-12,ART-0050,5,32.97,148.37,4.34
2025-12,ART-0051,8,7.03,52.73,1.65
2025-12,ART-0051,7,7.03,52.72,1.65
2025-12,ART-0052,2,21.02,42.04,1.33
2025-12,ART-0052,2,21.02,42.04,1.33
2025-12,ART-0053,9,15.14,128.69,4.39
2025-12,ART-0053,8,15.14,128.69,4.39
2025-12,ART-0054,6,15.96,103.74,3.11
2025-12,ART-0054,7,15.96,103.74,3.11
2025-12,ART-0055,4,15.42,69.39,2.46
2025-12,ART-0055,5,15.42,69.39,2.45
2025-12,ART-0056,7,28.08,196.56,4.64
2025-12,ART-0056,7,28.08,196.56,4.65
2025-12,ART-0057,19,23.96,455.24,11.9
2025-12,ART-0057,19,23.96,455.24,11.9
2025-12,ART-0058,7,39.89,279.23,7.82
2025-12,ART-0058,7,39.89,279.23,7.81
2025-12,ART-0060,12,10.33,123.96,3.84
2025-12,ART-0060,12,10.33,123.96,3.84
2025-12,ART-0061,8,19.38,145.35,4.57
2025-12,ART-0061,7,19.38,145.35,4.57
2025-12,ART-0062,2,20.28,50.7,1.46
2025-12,ART-0062,3,20.28,50.7,1.45
2025-12,ART-0063,6,15.47,85.09,3.37
2025-12,ART-0063,5,15.47,85.08,3.36
2025-12,ART-0064,7,12.75,82.87,2.66
2025-12,ART-0064,6,12.75,82.88,2.66
2025-12,ART-0065,5,33.06,165.3,5.02
2025-12,ART-0065,5,33.06,165.3,5.01
2025-12,ART-0066,2,37.77,75.54,2.3
2025-12,ART-0066,2,37.77,75.54,2.31
2025-12,ART-0067,5,14.0,77.0,2.83
2025-12,ART-0067,6,14.0,77.0,2.83
2025-12,ART-0068,11,72.31,759.25,23.49
2025-12,ART-0068,10,72.31,759.26,23.49
2025-12,ART-0069,4,15.19,60.76,2.18
2025-12,ART-0069,4,15.19,60.76,2.17
2025-12,ART-0070,2,43.43,86.86,2.51
2025-12,ART-0070,2,43.43,86.86,2.52
2025-12,ART-0071,7,7.42,51.94,1.41
2025-12,ART-0071,7,7.42,51.94,1.41
2025-12,ART-0072,10,23.15,231.5,5.88
2025-12,ART-0072,10,23.15,231.5,5.88
2025-12,ART-0074,4,22.32,89.28,2.89
2025-12,ART-0074,4,22.32,89.28,2.89
2025-12,ART-0076,7,13.12,98.4,3.23
2025-12,ART-0076,8,13.12,98.4,3.23
2025-12,ART-0077,2,14.56,21.84,0.7
2025-12,ART-0077,1,14.56,21.84,0.7
2025-12,ART-0078,10,20.07,200.7,6.41
2025-12,ART-0078,10,20.07,200.7,6.4
2025-12,ART-0079,3,13.58,40.74,1.33
