report_period,article_sku,quantity,unit_price,discount_pct,amount,freight
2025-02,ART-0000,9,23.73,0.0,213.57,6.07
2025-02,ART-0001,13,33.49,0.0,435.37,15.14
2025-02,ART-0003,8,17.9,0.0,143.2,5.0
2025-02,ART-0004,5,21.44,0.0,107.2,3.29
2025-02,ART-0006,15,26.85,0.0,402.75,11.36
2025-02,ART-0007,6,22.33,0.0,133.98,4.28
2025-02,ART-0008,7,10.37,0.0,72.59,2.49
2025-02,ART-0010,24,37.18,0.0,892.32,30.98
2025-02,ART-0011,24,25.78,0.0,618.72,14.84
2025-02,ART-0012,12,15.91,0.0,190.92,5.64
2025-02,ART-0013,3,25.52,0.0,76.56,2.08
2025-02,ART-0014,12,26.1,0.0,313.2,10.13
2025-02,ART-0015,21,28.6,0.0,600.6,16.73
2025-02,ART-0016,7,42.58,0.0,298.06,7.81
2025-02,ART-0017,9,24.41,0.0,219.69,6.29
2025-02,ART-0019,24,15.24,0.0,365.76,9.23
2025-02,ART-0020,14,29.18,0.0,408.52,12.56
2025-02,ART-0021,10,37.08,0.0,370.8,10.79
2025-02,ART-0022,42,13.53,0.0,568.26,14.53
2025-02,ART-0024,13,31.27,0.0,406.51,10.73
2025-02,ART-0025,4,25.15,0.0,100.6,3.19
2025-02,ART-0026,21,15.84,0.0,332.64,10.82
2025-02,ART-0027,7,12.95,0.0,90.65,1.88
2025-02,ART-0029,18,42.42,0.0,763.56,22.92
2025-02,ART-0030,4,45.44,0.0,181.76,6.35
2025-02,ART-0031,31,16.76,0.0,519.56,17.6
2025-02,ART-0032,11,34.68,0.0,381.48,9.54
2025-02,ART-0033,24,21.35,0.0,512.4,16.29
2025-02,ART-0035,12,19.48,0.0,233.76,4.66
2025-02,ART-0037,17,23.58,0.0,400.86,13.9
2025-02,ART-0038,7,41.03,0.0,287.21,10.16
2025-02,ART-0039,7,37.08,0.0,259.56,8.6
2025-02,ART-0040,8,13.75,0.0,110.0,3.71
2025-02,ART-0041,34,16.29,0.0,553.86,19.49
2025-02,ART-0042,3,30.85,0.0,92.55,2.18
2025-02,ART-0043,3,16.92,0.0,50.76,1.52
2025-02,ART-0044,29,11.58,0.0,335.82,7.91
2025-02,ART-0045,8,14.19,0.0,113.52,3.41
2025-02,ART-0046,16,23.37,0.0,373.92,10.96
2025-02,ART-0047,6,24.38,0.0,146.28,4.62
2025-02,ART-0049,6,42.1,0.0,252.6,9.71
2025-02,ART-0050,12,32.67,0.0,392.04,12.66
2025-02,ART-0051,13,7.28,0.0,94.64,3.1
2025-02,ART-0052,7,20.74,0.0,145.18,5.06
2025-02,ART-0053,22,15.17,0.0,333.74,9.19
2025-02,ART-0054,12,15.93,0.0,191.16,5.16
