article_sku,2025-10
ART-0000,184.4
ART-0001,676.2
ART-0002,442.56
ART-0003,108.54
ART-0004,176.08
ART-0005,92.08
ART-0006,297.0
ART-0007,111.25
ART-0009,141.8
ART-0010,777.21
ART-0012,318.2
ART-0013,76.62
ART-0014,157.74
ART-0015,498.06
ART-0016,474.32
ART-0019,180.72
ART-0022,482.04
ART-0023,206.05
ART-0024,309.8
ART-0025,152.4
ART-0026,370.99
ART-0027,166.92
ART-0028,1020.09
ART-0029,462.99
ART-0031,413.5
ART-0032,522.15
ART-0033,269.49
ART-0034,39.88
ART-0035,176.67
ART-0036,366.08
ART-0037,376.32
ART-0038,327.2
ART-0039,436.44
ART-0041,480.24
ART-0042,63.48
ART-0043,85.45
ART-0044,422.28
ART-0045,99.89
ART-0046,373.6
ART-0047,195.04
ART-0048,364.5
ART-0049,249.54
ART-0050,324.2
ART-0052,107.45
ART-0053,337.92
ART-0054,280.8
ART-0055,153.9
ART-0056,730.25
ART-0057,483.4
ART-0058,603.6
ART-0061,137.13
ART-0062,163.84
ART-0063,188.16
ART-0064,365.98
ART-0065,259.52
ART-0066,110.94
ART-0067,208.8
ART-0068,653.76
ART-0069,166.43
ART-0070,263.28
ART-0071,109.35
ART-0074,134.94
ART-0075,245.64
ART-0076,90.72
ART-0078,258.96
ART-0079,54.64
ART-0081,70.7
ART-0083,345.99
ART-0084,217.98
ART-0085,2655.64
ART-0088,596.96
ART-0089,351.27
ART-0090,231.0
ART-0091,531.7
ART-0092,921.9
ART-0093,125.1
ART-0094,134.28
ART-0095,108.16
ART-0096,130.95
ART-0097,656.46
ART-0098,120.35
ART-0099,73.65
ART-0100,108.57
ART-0101,463.68
ART-0102,290.16
ART-0103,246.24
ART-0104,343.2
ART-0105,72.3
ART-0106,994.84
ART-0107,728.86
ART-0108,95.75
ART-0109,139.51
ART-0110,230.4
ART-0111,325.2
ART-0113,444.34
ART-0114,230.04
ART-0115,205.37
ART-0116,119.7
ART-0117,780.99
ART-0118,125.04
ART-0119,208.32
ART-0120,212.6
ART-0122,323.82
ART-0123,198.33
ART-0124,253.22
ART-0126,262.2
ART-0127,225.12
ART-0129,319.77
ART-0130,547.91
ART-0131,174.5
ART-0132,214.34
ART-0133,65.65
ART-0134,156.06
ART-0135,310.8
ART-0136,360.45
ART-0137,207.5
ART-0140,58.08
ART-0141,74.6
ART-0142,162.82
ART-0143,167.49
ART-0144,114.78
ART-0145,454.86
ART-0147,205.6
ART-0148,1304.72
ART-0149,115.78
