model,multiple,shift_pct,single_alarm,sustained_alarm
iid,0.0,0.0,0.05616666666666666,0.0555
iid,0.1,2.2437,0.06416666666666666,0.09983333333333333
iid,0.25,5.6092,0.1215,0.3165
iid,0.5,11.2183,0.30183333333333334,0.8213333333333334
iid,0.75,16.8275,0.5428333333333333,0.9878333333333333
iid,1.0,22.4367,0.7685,0.9996666666666667
iid,1.25,28.0459,0.8968333333333334,1.0
iid,1.5,33.655,0.9606666666666667,1.0
iid,2.0,44.8734,0.9968333333333333,1.0
iid,3.0,67.3101,1.0,1.0
iid,4.0,89.7468,1.0,1.0
ar1_0.3,0.0,0.0,0.068,0.129
ar1_0.3,0.1,2.2437,0.08033333333333334,0.17483333333333334
ar1_0.3,0.25,5.6092,0.15333333333333332,0.36766666666666664
ar1_0.3,0.5,11.2183,0.3305,0.7881666666666667
ar1_0.3,0.75,16.8275,0.5721666666666667,0.9653333333333334
ar1_0.3,1.0,22.4367,0.7863333333333333,0.9965
ar1_0.3,1.25,28.0459,0.9105,0.9996666666666667
ar1_0.3,1.5,33.655,0.9605,1.0
ar1_0.3,2.0,44.8734,0.9971666666666666,1.0
ar1_0.3,3.0,67.3101,1.0,1.0
ar1_0.3,4.0,89.7468,1.0,1.0
ar1_0.6,0.0,0.0,0.12,0.27116666666666667
ar1_0.6,0.1,2.2437,0.1315,0.2991666666666667
ar1_0.6,0.25,5.6092,0.20816666666666667,0.4538333333333333
ar1_0.6,0.5,11.2183,0.4165,0.7738333333333334
ar1_0.6,0.75,16.8275,0.6365,0.9351666666666667
ar1_0.6,1.0,22.4367,0.8046666666666666,0.9893333333333333
ar1_0.6,1.25,28.0459,0.923,0.9985
ar1_0.6,1.5,33.655,0.9671666666666666,0.9998333333333334
ar1_0.6,2.0,44.8734,0.9963333333333333,1.0
ar1_0.6,3.0,67.3101,1.0,1.0
ar1_0.6,4.0,89.7468,1.0,1.0
seasonal,0.0,0.0,0.031,0.0595
seasonal,0.1,2.2437,0.04666666666666667,0.1205
seasonal,0.25,5.6092,0.10583333333333333,0.3303333333333333
seasonal,0.5,11.2183,0.288,0.7541666666666667
seasonal,0.75,16.8275,0.5238333333333334,0.9745
seasonal,1.0,22.4367,0.7478333333333333,0.9998333333333334
seasonal,1.25,28.0459,0.8878333333333334,1.0
seasonal,1.5,33.655,0.9615,1.0
seasonal,2.0,44.8734,0.998,1.0
seasonal,3.0,67.3101,1.0,1.0
seasonal,4.0,89.7468,1.0,1.0
