period,product,country,sales
2026-01,ART-0001,Tschechei,442.27
2026-03,ART-0001,Tschechei,180.31
2026-04,ART-0001,Tschechei,273.54
2026-05,ART-0001,Tschechei,303.63
2026-06,ART-0001,Tschechei,584.26
2026-01,ART-0002,Tschechei,808.17
2026-02,ART-0002,Tschechei,844.40
2026-03,ART-0002,Tschechei,454.96
2026-04,ART-0002,Tschechei,367.63
2026-06,ART-0002,Tschechei,492.26
2026-01,ART-0003,Tschechei,396.67
2026-02,ART-0003,Tschechei,319.86
2026-04,ART-0003,Tschechei,810.59
2026-05,ART-0003,Tschechei,144.54
2026-06,ART-0003,Tschechei,281.62
2026-01,ART-0004,Tschechei,675.78
2026-02,ART-0004,Tschechei,307.19
2026-03,ART-0004,Tschechei,287.39
2026-04,ART-0004,Tschechei,213.08
2026-05,ART-0004,Tschechei,658.98
2026-06,ART-0004,Tschechei,539.41
2026-01,ART-0002,Deutschland,527.52
2026-02,ART-0002,Deutschland,218.69
2026-03,ART-0002,Deutschland,643.80
2026-05,ART-0002,Deutschland,713.80
2026-06,ART-0002,Deutschland,161.36
2026-01,ART-0003,Deutschland,857.80
2026-03,ART-0003,Deutschland,827.67
2026-04,ART-0003,Deutschland,19.76
2026-05,ART-0003,Deutschland,49.26
2026-06,ART-0003,Deutschland,203.89
2026-01,ART-0004,Deutschland,484.26
2026-02,ART-0004,Deutschland,198.14
2026-03,ART-0004,Deutschland,543.68
2026-04,ART-0004,Deutschland,94.61
2026-05,ART-0004,Deutschland,368.78
2026-01,ART-0005,Deutschland,217.82
2026-02,ART-0005,Deutschland,434.34
2026-03,ART-0005,Deutschland,630.07
2026-04,ART-0005,Deutschland,179.64
2026-05,ART-0005,Deutschland,402.98
2026-06,ART-0005,Deutschland,254.39
2026-01,ART-0001,Suomi,181.82
2026-02,ART-0001,Suomi,838.99
2026-03,ART-0001,Suomi,808.75
2026-04,ART-0001,Suomi,55.71
2026-05,ART-0001,Suomi,616.10
2026-06,ART-0001,Suomi,819.27
2026-01,ART-0002,Suomi,450.15
2026-02,ART-0002,Suomi,490.70
2026-03,ART-0002,Suomi,484.59
2026-04,ART-0002,Suomi,149.78
2026-05,ART-0002,Suomi,797.90
2026-06,ART-0002,Suomi,294.95
2026-01,ART-0004,Suomi,693.62
2026-02,ART-0004,Suomi,102.40
2026-03,ART-0004,Suomi,448.42
2026-04,ART-0004,Suomi,366.68
2026-05,ART-0004,Suomi,87.94
2026-06,ART-0004,Suomi,288.47
2026-01,ART-0005,Suomi,224.75
2026-02,ART-0005,Suomi,724.64
2026-03,ART-0005,Suomi,333.15
2026-04,ART-0005,Suomi,131.54
2026-05,ART-0005,Suomi,559.65
2026-06,ART-0005,Suomi,818.52
2026-01,ART-0001,Norlandia,250.76
2026-02,ART-0001,Norlandia,818.59
2026-03,ART-0001,Norlandia,179.67
2026-04,ART-0001,Norlandia,818.89
2026-05,ART-0001,Norlandia,339.29
2026-06,ART-0001,Norlandia,380.44
2026-02,ART-0005,Norlandia,240.02
2026-03,ART-0005,Norlandia,71.02
2026-04,ART-0005,Norlandia,830.31
2026-05,ART-0005,Norlandia,874.71
2026-06,ART-0005,Norlandia,233.43
