maa,tuote,kuukausi,myynti
  Tšekki ,  ART-0001 ,  tammikuu 2026 ,"  442,27 "
  Tšekki ,  ART-0001 ,  maaliskuu 2026 ,"  180,31 "
  Tšekki ,  ART-0001 ,  huhtikuu 2026 ,"  273,54 "
  Tšekki ,  ART-0001 ,  toukokuu 2026 ,"  303,63 "
  Tšekki ,  ART-0001 ,  kesäkuu 2026 ,"  584,26 "
  Tšekki ,  ART-0002 ,  tammikuu 2026 ,"  808,17 "
  Tšekki ,  ART-0002 ,  helmikuu 2026 ,"  844,40 "
  Tšekki ,  ART-0002 ,  maaliskuu 2026 ,"  454,96 "
  Tšekki ,  ART-0002 ,  huhtikuu 2026 ,"  367,63 "
  Tšekki ,  ART-0002 ,  kesäkuu 2026 ,"  492,26 "
  Tšekki ,  ART-0003 ,  tammikuu 2026 ,"  396,67 "
  Tšekki ,  ART-0003 ,  helmikuu 2026 ,"  319,86 "
  Tšekki ,  ART-0003 ,  huhtikuu 2026 ,"  810,59 "
  Tšekki ,  ART-0003 ,  toukokuu 2026 ,"  144,54 "
  Tšekki ,  ART-0003 ,  kesäkuu 2026 ,"  281,62 "
  Tšekki ,  ART-0004 ,  tammikuu 2026 ,"  675,78 "
  Tšekki ,  ART-0004 ,  helmikuu 2026 ,"  307,19 "
  Tšekki ,  ART-0004 ,  maaliskuu 2026 ,"  287,39 "
  Tšekki ,  ART-0004 ,  huhtikuu 2026 ,"  213,08 "
  Tšekki ,  ART-0004 ,  toukokuu 2026 ,"  658,98 "
  Tšekki ,  ART-0004 ,  kesäkuu 2026 ,"  539,41 "
  Saksa ,  ART-0002 ,  tammikuu 2026 ,"  527,52 "
  Saksa ,  ART-0002 ,  helmikuu 2026 ,"  218,69 "
  Saksa ,  ART-0002 ,  maaliskuu 2026 ,"  643,80 "
  Saksa ,  ART-0002 ,  toukokuu 2026 ,"  713,80 "
  Saksa ,  ART-0002 ,  kesäkuu 2026 ,"  161,36 "
  Saksa ,  ART-0003 ,  tammikuu 2026 ,"  857,80 "
  Saksa ,  ART-0003 ,  maaliskuu 2026 ,"  827,67 "
  Saksa ,  ART-0003 ,  huhtikuu 2026 ,"  19,76 "
  Saksa ,  ART-0003 ,  toukokuu 2026 ,"  49,26 "
  Saksa ,  ART-0003 ,  kesäkuu 2026 ,"  203,89 "
  Saksa ,  ART-0004 ,  tammikuu 2026 ,"  484,26 "
  Saksa ,  ART-0004 ,  helmikuu 2026 ,"  198,14 "
  Saksa ,  ART-0004 ,  maaliskuu 2026 ,"  543,68 "
  Saksa ,  ART-0004 ,  huhtikuu 2026 ,"  94,61 "
  Saksa ,  ART-0004 ,  toukokuu 2026 ,"  368,78 "
  Saksa ,  ART-0005 ,  tammikuu 2026 ,"  217,82 "
  Saksa ,  ART-0005 ,  helmikuu 2026 ,"  434,34 "
  Saksa ,  ART-0005 ,  maaliskuu 2026 ,"  630,07 "
  Saksa ,  ART-0005 ,  huhtikuu 2026 ,"  179,64 "
  Saksa ,  ART-0005 ,  toukokuu 2026 ,"  402,98 "
  Saksa ,  ART-0005 ,  kesäkuu 2026 ,"  254,39 "
  Suomi ,  ART-0001 ,  tammikuu 2026 ,"  181,82 "
  Suomi ,  ART-0001 ,  helmikuu 2026 ,"  838,99 "
  Suomi ,  ART-0001 ,  maaliskuu 2026 ,"  808,75 "
  Suomi ,  ART-0001 ,  huhtikuu 2026 ,"  55,71 "
  Suomi ,  ART-0001 ,  toukokuu 2026 ,"  616,10 "
  Suomi ,  ART-0001 ,  kesäkuu 2026 ,"  819,27 "
  Suomi ,  ART-0002 ,  tammikuu 2026 ,"  450,15 "
