country,product,tammikuu 2026,helmikuu 2026,maaliskuu 2026,huhtikuu 2026,toukokuu 2026,kesäkuu 2026
Deutschland,ART-0002,"527,52","218,69","643,80",,"713,80","161,36"
Deutschland,ART-0003,"857,80",,"827,67","19,76","49,26","203,89"
Deutschland,ART-0004,"484,26","198,14","543,68","94,61","368,78",
Deutschland,ART-0005,"217,82","434,34","630,07","179,64","402,98","254,39"
Finnland,ART-0001,"181,82","838,99","808,75","55,71","616,10","819,27"
Finnland,ART-0002,"450,15","490,70","484,59","149,78","797,90","294,95"
Finnland,ART-0004,"693,62","102,40","448,42","366,68","87,94","288,47"
Finnland,ART-0005,"224,75","724,64","333,15","131,54","559,65","818,52"
Schweden,ART-0001,"250,76","818,59","179,67","818,89","339,29","380,44"
Schweden,ART-0005,,"240,02","71,02","830,31","874,71","233,43"
Tschechien,ART-0001,"442,27",,"180,31","273,54","303,63","584,26"
Tschechien,ART-0002,"808,17","844,40","454,96","367,63",,"492,26"
Tschechien,ART-0003,"396,67","319,86",,"810,59","144,54","281,62"
Tschechien,ART-0004,"675,78","307,19","287,39","213,08","658,98","539,41"
