land,produkt,månad,försäljning
Tjeckien,ART-0001,januari 2026,"442,27"
Tjeckien,ART-0001,mars 2026,"180,31"
Tjeckien,ART-0001,april 2026,"273,54"
Tjeckien,ART-0001,maj 2026,"303,63"
Tjeckien,ART-0001,juni 2026,"584,26"
Tjeckien,ART-0002,januari 2026,"808,17"
Tjeckien,ART-0002,februari 2026,"844,40"
Tjeckien,ART-0002,mars 2026,"454,96"
Tjeckien,ART-0002,april 2026,"367,63"
Tjeckien,ART-0002,juni 2026,"492,26"
Tjeckien,ART-0003,januari 2026,"396,67"
Tjeckien,ART-0003,februari 2026,"319,86"
Tjeckien,ART-0003,april 2026,"810,59"
Tjeckien,ART-0003,maj 2026,"144,54"
Tjeckien,ART-0003,juni 2026,"281,62"
Tjeckien,ART-0004,januari 2026,"675,78"
Tjeckien,ART-0004,februari 2026,"307,19"
Tjeckien,ART-0004,mars 2026,"287,39"
Tjeckien,ART-0004,april 2026,"213,08"
Tjeckien,ART-0004,maj 2026,"658,98"
Tjeckien,ART-0004,juni 2026,"539,41"
Tyskland,ART-0002,januari 2026,"527,52"
Tyskland,ART-0002,februari 2026,"218,69"
Tyskland,ART-0002,mars 2026,"643,80"
Tyskland,ART-0002,maj 2026,"713,80"
Tyskland,ART-0002,juni 2026,"161,36"
Tyskland,ART-0003,januari 2026,"857,80"
Tyskland,ART-0003,mars 2026,"827,67"
Tyskland,ART-0003,april 2026,"19,76"
Tyskland,ART-0003,maj 2026,"49,26"
Tyskland,ART-0003,juni 2026,"203,89"
Tyskland,ART-0004,januari 2026,"484,26"
Tyskland,ART-0004,februari 2026,"198,14"
Tyskland,ART-0004,mars 2026,"543,68"
Tyskland,ART-0004,april 2026,"94,61"
Tyskland,ART-0004,maj 2026,"368,78"
Tyskland,ART-0005,januari 2026,"217,82"
Tyskland,ART-0005,februari 2026,"434,34"
Tyskland,ART-0005,mars 2026,"630,07"
Tyskland,ART-0005,april 2026,"179,64"
Tyskland,ART-0005,maj 2026,"402,98"
Tyskland,ART-0005,juni 2026,"254,39"
Finland,ART-0001,januari 2026,"181,82"
Finland,ART-0001,februari 2026,"838,99"
Finland,ART-0001,mars 2026,"808,75"
Finland,ART-0001,april 2026,"55,71"
Finland,ART-0001,maj 2026,"616,10"
Finland,ART-0001,juni 2026,"819,27"
Finland,ART-0002,januari 2026,"450,15"
Finland,ART-0002,februari 2026,"490,70"
Finland,ART-0002,mars 2026,"484,59"
Finland,ART-0002,april 2026,"149,78"
Finland,ART-0002,maj 2026,"797,90"
Finland,ART-0002,juni 2026,"294,95"
Finland,ART-0004,januari 2026,"693,62"
Finland,ART-0004,februari 2026,"102,40"
Finland,ART-0004,mars 2026,"448,42"
Finland,ART-0004,april 2026,"366,68"
Finland,ART-0004,maj 2026,"87,94"
Finland,ART-0004,juni 2026,"288,47"
Finland,ART-0005,januari 2026,"224,75"
Finland,ART-0005,februari 2026,"724,64"
Finland,ART-0005,mars 2026,"333,15"
Finland,ART-0005,april 2026,"131,54"
Finland,ART-0005,maj 2026,"559,65"
Finland,ART-0005,juni 2026,"818,52"
Sverige,ART-0001,januari 2026,"250,76"
Sverige,ART-0001,februari 2026,"818,59"
Sverige,ART-0001,mars 2026,"179,67"
Sverige,ART-0001,april 2026,"818,89"
Sverige,ART-0001,maj 2026,"339,29"
Sverige,ART-0001,juni 2026,"380,44"
Sverige,ART-0005,februari 2026,"240,02"
Sverige,ART-0005,mars 2026,"71,02"
Sverige,ART-0005,april 2026,"830,31"
Sverige,ART-0005,maj 2026,"874,71"
Sverige,ART-0005,juni 2026,"233,43"
