période,produit,pays,ventes
janvier 2026,ART-0001,Tchéquie,442.27
mars 2026,ART-0001,Tchéquie,180.31
avril 2026,ART-0001,Tchéquie,273.54
mai 2026,ART-0001,Tchéquie,303.63
juin 2026,ART-0001,Tchéquie,584.26
janvier 2026,ART-0002,Tchéquie,808.17
février 2026,ART-0002,Tchéquie,844.40
mars 2026,ART-0002,Tchéquie,454.96
avril 2026,ART-0002,Tchéquie,367.63
juin 2026,ART-0002,Tchéquie,492.26
janvier 2026,ART-0003,Tchéquie,396.67
février 2026,ART-0003,Tchéquie,319.86
avril 2026,ART-0003,Tchéquie,810.59
mai 2026,ART-0003,Tchéquie,144.54
juin 2026,ART-0003,Tchéquie,281.62
janvier 2026,ART-0004,Tchéquie,675.78
février 2026,ART-0004,Tchéquie,307.19
mars 2026,ART-0004,Tchéquie,287.39
avril 2026,ART-0004,Tchéquie,213.08
mai 2026,ART-0004,Tchéquie,658.98
juin 2026,ART-0004,Tchéquie,539.41
janvier 2026,ART-0002,Allemagne,527.52
février 2026,ART-0002,Allemagne,218.69
mars 2026,ART-0002,Allemagne,643.80
mai 2026,ART-0002,Allemagne,713.80
juin 2026,ART-0002,Allemagne,161.36
janvier 2026,ART-0003,Allemagne,857.80
mars 2026,ART-0003,Allemagne,827.67
avril 2026,ART-0003,Allemagne,19.76
mai 2026,ART-0003,Allemagne,49.26
juin 2026,ART-0003,Allemagne,203.89
janvier 2026,ART-0004,Allemagne,484.26
février 2026,ART-0004,Allemagne,198.14
mars 2026,ART-0004,Allemagne,543.68
avril 2026,ART-0004,Allemagne,94.61
mai 2026,ART-0004,Allemagne,368.78
janvier 2026,ART-0005,Allemagne,217.82
février 2026,ART-0005,Allemagne,434.34
mars 2026,ART-0005,Allemagne,630.07
avril 2026,ART-0005,Allemagne,179.64
mai 2026,ART-0005,Allemagne,402.98
juin 2026,ART-0005,Allemagne,254.39
janvier 2026,ART-0001,Finlande,181.82
février 2026,ART-0001,Finlande,838.99
mars 2026,ART-0001,Finlande,808.75
avril 2026,ART-0001,Finlande,55.71
mai 2026,ART-0001,Finlande,616.10
juin 2026,ART-0001,Finlande,819.27
janvier 2026,ART-0002,Finlande,450.15
février 2026,ART-0002,Finlande,490.70
mars 2026,ART-0002,Finlande,484.59
avril 2026,ART-0002,Finlande,149.78
mai 2026,ART-0002,Finlande,797.90
juin 2026,ART-0002,Finlande,294.95
janvier 2026,ART-0004,Finlande,693.62
février 2026,ART-0004,Finlande,102.40
mars 2026,ART-0004,Finlande,448.42
avril 2026,ART-0004,Finlande,366.68
mai 2026,ART-0004,Finlande,87.94
juin 2026,ART-0004,Finlande,288.47
janvier 2026,ART-0005,Finlande,224.75
février 2026,ART-0005,Finlande,724.64
mars 2026,ART-0005,Finlande,333.15
avril 2026,ART-0005,Finlande,131.54
mai 2026,ART-0005,Finlande,559.65
juin 2026,ART-0005,Finlande,818.52
janvier 2026,ART-0001,Suède,250.76
février 2026,ART-0001,Suède,818.59
mars 2026,ART-0001,Suède,179.67
avril 2026,ART-0001,Suède,818.89
mai 2026,ART-0001,Suède,339.29
juin 2026,ART-0001,Suède,380.44
février 2026,ART-0005,Suède,240.02
mars 2026,ART-0005,Suède,71.02
avril 2026,ART-0005,Suède,830.31
mai 2026,ART-0005,Suède,874.71
juin 2026,ART-0005,Suède,233.43
