país,producto,mes,ventas
Czechia,ART-0001,enero 2026,442.27
Czechia,ART-0001,marzo 2026,180.31
Czechia,ART-0001,abril 2026,273.54
Czechia,ART-0001,mayo 2026,303.63
Czechia,ART-0001,junio 2026,584.26
Czechia,ART-0002,enero 2026,808.17
Czechia,ART-0002,febrero 2026,844.40
Czechia,ART-0002,marzo 2026,454.96
Czechia,ART-0002,abril 2026,367.63
Czechia,ART-0002,junio 2026,492.26
Czechia,ART-0003,enero 2026,396.67
Czechia,ART-0003,febrero 2026,319.86
Czechia,ART-0003,abril 2026,810.59
Czechia,ART-0003,mayo 2026,144.54
Czechia,ART-0003,junio 2026,281.62
Czechia,ART-0004,enero 2026,675.78
Czechia,ART-0004,febrero 2026,307.19
Czechia,ART-0004,marzo 2026,287.39
Czechia,ART-0004,abril 2026,213.08
Czechia,ART-0004,mayo 2026,658.98
Czechia,ART-0004,junio 2026,539.41
Germany,ART-0002,enero 2026,527.52
Germany,ART-0002,febrero 2026,218.69
Germany,ART-0002,marzo 2026,643.80
Germany,ART-0002,mayo 2026,713.80
Germany,ART-0002,junio 2026,161.36
Germany,ART-0003,enero 2026,857.80
Germany,ART-0003,marzo 2026,827.67
Germany,ART-0003,abril 2026,19.76
Germany,ART-0003,mayo 2026,49.26
Germany,ART-0003,junio 2026,203.89
Germany,ART-0004,enero 2026,484.26
Germany,ART-0004,febrero 2026,198.14
Germany,ART-0004,marzo 2026,543.68
Germany,ART-0004,abril 2026,94.61
Germany,ART-0004,mayo 2026,368.78
Germany,ART-0005,enero 2026,217.82
Germany,ART-0005,febrero 2026,434.34
Germany,ART-0005,marzo 2026,630.07
Germany,ART-0005,abril 2026,179.64
Germany,ART-0005,mayo 2026,402.98
Germany,ART-0005,junio 2026,254.39
Finland,ART-0001,enero 2026,181.82
Finland,ART-0001,febrero 2026,838.99
Finland,ART-0001,marzo 2026,808.75
Finland,ART-0001,abril 2026,55.71
Finland,ART-0001,mayo 2026,616.10
Finland,ART-0001,junio 2026,819.27
Finland,ART-0002,enero 2026,450.15
Finland,ART-0002,febrero 2026,490.70
Finland,ART-0002,marzo 2026,484.59
Finland,ART-0002,abril 2026,149.78
Finland,ART-0002,mayo 2026,797.90
Finland,ART-0002,junio 2026,294.95
Finland,ART-0004,enero 2026,693.62
Finland,ART-0004,febrero 2026,102.40
Finland,ART-0004,marzo 2026,448.42
Finland,ART-0004,abril 2026,366.68
Finland,ART-0004,mayo 2026,87.94
Finland,ART-0004,junio 2026,288.47
Finland,ART-0005,enero 2026,224.75
Finland,ART-0005,febrero 2026,724.64
Finland,ART-0005,marzo 2026,333.15
Finland,ART-0005,abril 2026,131.54
Finland,ART-0005,mayo 2026,559.65
Finland,ART-0005,junio 2026,818.52
Sweden,ART-0001,enero 2026,250.76
Sweden,ART-0001,febrero 2026,818.59
Sweden,ART-0001,marzo 2026,179.67
Sweden,ART-0001,abril 2026,818.89
Sweden,ART-0001,mayo 2026,339.29
Sweden,ART-0001,junio 2026,380.44
Sweden,ART-0005,febrero 2026,240.02
Sweden,ART-0005,marzo 2026,71.02
Sweden,ART-0005,abril 2026,830.31
Sweden,ART-0005,mayo 2026,874.71
Sweden,ART-0005,junio 2026,233.43
