country,product,year,januari,februari,mars,april,maj,juni
Finland,ART-0001,2026,181.82,838.99,808.75,55.71,616.10,819.27
Finland,ART-0002,2026,450.15,490.70,484.59,149.78,797.90,294.95
Finland,ART-0004,2026,693.62,102.40,448.42,366.68,87.94,288.47
Finland,ART-0005,2026,224.75,724.64,333.15,131.54,559.65,818.52
Sverige,ART-0001,2026,250.76,818.59,179.67,818.89,339.29,380.44
Sverige,ART-0005,2026,,240.02,71.02,830.31,874.71,233.43
Tjeckien,ART-0001,2026,442.27,,180.31,273.54,303.63,584.26
Tjeckien,ART-0002,2026,808.17,844.40,454.96,367.63,,492.26
Tjeckien,ART-0003,2026,396.67,319.86,,810.59,144.54,281.62
Tjeckien,ART-0004,2026,675.78,307.19,287.39,213.08,658.98,539.41
Tyskland,ART-0002,2026,527.52,218.69,643.80,,713.80,161.36
Tyskland,ART-0003,2026,857.80,,827.67,19.76,49.26,203.89
Tyskland,ART-0004,2026,484.26,198.14,543.68,94.61,368.78,
Tyskland,ART-0005,2026,217.82,434.34,630.07,179.64,402.98,254.39
