period,product,country,sales
  Janvier 2026 ,  Art-0001 ,  Tchéquie ,"  442,27 "
  Mars 2026 ,  Art-0001 ,  Tchéquie ,"  180,31 "
  Avril 2026 ,  Art-0001 ,  Tchéquie ,"  273,54 "
  Mai 2026 ,  Art-0001 ,  Tchéquie ,"  303,63 "
  Juin 2026 ,  Art-0001 ,  Tchéquie ,"  584,26 "
  Janvier 2026 ,  Art-0002 ,  Tchéquie ,"  808,17 "
  Février 2026 ,  Art-0002 ,  Tchéquie ,"  844,40 "
  Mars 2026 ,  Art-0002 ,  Tchéquie ,"  454,96 "
  Avril 2026 ,  Art-0002 ,  Tchéquie ,"  367,63 "
  Juin 2026 ,  Art-0002 ,  Tchéquie ,"  492,26 "
  Janvier 2026 ,  Art-0003 ,  Tchéquie ,"  396,67 "
  Février 2026 ,  Art-0003 ,  Tchéquie ,"  319,86 "
  Avril 2026 ,  Art-0003 ,  Tchéquie ,"  810,59 "
  Mai 2026 ,  Art-0003 ,  Tchéquie ,"  144,54 "
  Juin 2026 ,  Art-0003 ,  Tchéquie ,"  281,62 "
  Janvier 2026 ,  Art-0004 ,  Tchéquie ,"  675,78 "
  Février 2026 ,  Art-0004 ,  Tchéquie ,"  307,19 "
  Mars 2026 ,  Art-0004 ,  Tchéquie ,"  287,39 "
  Avril 2026 ,  Art-0004 ,  Tchéquie ,"  213,08 "
  Mai 2026 ,  Art-0004 ,  Tchéquie ,"  658,98 "
  Juin 2026 ,  Art-0004 ,  Tchéquie ,"  539,41 "
  Janvier 2026 ,  Art-0002 ,  Allemagne ,"  527,52 "
  Février 2026 ,  Art-0002 ,  Allemagne ,"  218,69 "
  Mars 2026 ,  Art-0002 ,  Allemagne ,"  643,80 "
  Mai 2026 ,  Art-0002 ,  Allemagne ,"  713,80 "
  Juin 2026 ,  Art-0002 ,  Allemagne ,"  161,36 "
  Janvier 2026 ,  Art-0003 ,  Allemagne ,"  857,80 "
  Mars 2026 ,  Art-0003 ,  Allemagne ,"  827,67 "
  Avril 2026 ,  Art-0003 ,  Allemagne ,"  19,76 "
  Mai 2026 ,  Art-0003 ,  Allemagne ,"  49,26 "
  Juin 2026 ,  Art-0003 ,  Allemagne ,"  203,89 "
  Janvier 2026 ,  Art-0004 ,  Allemagne ,"  484,26 "
  Février 2026 ,  Art-0004 ,  Allemagne ,"  198,14 "
  Mars 2026 ,  Art-0004 ,  Allemagne ,"  543,68 "
  Avril 2026 ,  Art-0004 ,  Allemagne ,"  94,61 "
  Mai 2026 ,  Art-0004 ,  Allemagne ,"  368,78 "
  Janvier 2026 ,  Art-0005 ,  Allemagne ,"  217,82 "
  Février 2026 ,  Art-0005 ,  Allemagne ,"  434,34 "
  Mars 2026 ,  Art-0005 ,  Allemagne ,"  630,07 "
  Avril 2026 ,  Art-0005 ,  Allemagne ,"  179,64 "
  Mai 2026 ,  Art-0005 ,  Allemagne ,"  402,98 "
  Juin 2026 ,  Art-0005 ,  Allemagne ,"  254,39 "
  Janvier 2026 ,  Art-0001 ,  Finlande ,"  181,82 "
  Février 2026 ,  Art-0001 ,  Finlande ,"  838,99 "
  Mars 2026 ,  Art-0001 ,  Finlande ,"  808,75 "
  Avril 2026 ,  Art-0001 ,  Finlande ,"  55,71 "
  Mai 2026 ,  Art-0001 ,  Finlande ,"  616,10 "
  Juin 2026 ,  Art-0001 ,  Finlande ,"  819,27 "
  Janvier 2026 ,  Art-0002 ,  Finlande ,"  450,15 "
  Février 2026 ,  Art-0002 ,  Finlande ,"  490,70 "
  Mars 2026 ,  Art-0002 ,  Finlande ,"  484,59 "
  Avril 2026 ,  Art-0002 ,  Finlande ,"  149,78 "
  Mai 2026 ,  Art-0002 ,  Finlande ,"  797,90 "
  Juin 2026 ,  Art-0002 ,  Finlande ,"  294,95 "
  Janvier 2026 ,  Art-0004 ,  Finlande ,"  693,62 "
  Février 2026 ,  Art-0004 ,  Finlande ,"  102,40 "
  Mars 2026 ,  Art-0004 ,  Finlande ,"  448,42 "
  Avril 2026 ,  Art-0004 ,  Finlande ,"  366,68 "
  Mai 2026 ,  Art-0004 ,  Finlande ,"  87,94 "
  Juin 2026 ,  Art-0004 ,  Finlande ,"  288,47 "
  Janvier 2026 ,  Art-0005 ,  Finlande ,"  224,75 "
  Février 2026 ,  Art-0005 ,  Finlande ,"  724,64 "
  Mars 2026 ,  Art-0005 ,  Finlande ,"  333,15 "
  Avril 2026 ,  Art-0005 ,  Finlande ,"  131,54 "
  Mai 2026 ,  Art-0005 ,  Finlande ,"  559,65 "
  Juin 2026 ,  Art-0005 ,  Finlande ,"  818,52 "
  Janvier 2026 ,  Art-0001 ,  Suède ,"  250,76 "
  Février 2026 ,  Art-0001 ,  Suède ,"  818,59 "
  Mars 2026 ,  Art-0001 ,  Suède ,"  179,67 "
  Avril 2026 ,  Art-0001 ,  Suède ,"  818,89 "
  Mai 2026 ,  Art-0001 ,  Suède ,"  339,29 "
  Juin 2026 ,  Art-0001 ,  Suède ,"  380,44 "
  Février 2026 ,  Art-0005 ,  Suède ,"  240,02 "
  Mars 2026 ,  Art-0005 ,  Suède ,"  71,02 "
  Avril 2026 ,  Art-0005 ,  Suède ,"  830,31 "
  Mai 2026 ,  Art-0005 ,  Suède ,"  874,71 "
  Juin 2026 ,  Art-0005 ,  Suède ,"  233,43 "
