země,produkt,měsíc,tržby
CZE,ART-0001,enero 2026,"442,27"
CZE,ART-0001,marzo 2026,"180,31"
CZE,ART-0001,abril 2026,"273,54"
CZE,ART-0001,mayo 2026,"303,63"
CZE,ART-0001,junio 2026,"584,26"
CZE,ART-0002,enero 2026,"808,17"
CZE,ART-0002,febrero 2026,"844,40"
CZE,ART-0002,marzo 2026,"454,96"
CZE,ART-0002,abril 2026,"367,63"
CZE,ART-0002,junio 2026,"492,26"
CZE,ART-0003,enero 2026,"396,67"
CZE,ART-0003,febrero 2026,"319,86"
CZE,ART-0003,abril 2026,"810,59"
CZE,ART-0003,mayo 2026,"144,54"
CZE,ART-0003,junio 2026,"281,62"
CZE,ART-0004,enero 2026,"675,78"
CZE,ART-0004,febrero 2026,"307,19"
CZE,ART-0004,marzo 2026,"287,39"
CZE,ART-0004,abril 2026,"213,08"
CZE,ART-0004,mayo 2026,"658,98"
CZE,ART-0004,junio 2026,"539,41"
DEU,ART-0002,enero 2026,"527,52"
DEU,ART-0002,febrero 2026,"218,69"
DEU,ART-0002,marzo 2026,"643,80"
DEU,ART-0002,mayo 2026,"713,80"
DEU,ART-0002,junio 2026,"161,36"
DEU,ART-0003,enero 2026,"857,80"
DEU,ART-0003,marzo 2026,"827,67"
DEU,ART-0003,abril 2026,"19,76"
DEU,ART-0003,mayo 2026,"49,26"
DEU,ART-0003,junio 2026,"203,89"
DEU,ART-0004,enero 2026,"484,26"
DEU,ART-0004,febrero 2026,"198,14"
DEU,ART-0004,marzo 2026,"543,68"
DEU,ART-0004,abril 2026,"94,61"
DEU,ART-0004,mayo 2026,"368,78"
DEU,ART-0005,enero 2026,"217,82"
DEU,ART-0005,febrero 2026,"434,34"
DEU,ART-0005,marzo 2026,"630,07"
DEU,ART-0005,abril 2026,"179,64"
DEU,ART-0005,mayo 2026,"402,98"
DEU,ART-0005,junio 2026,"254,39"
FIN,ART-0001,enero 2026,"181,82"
FIN,ART-0001,febrero 2026,"838,99"
FIN,ART-0001,marzo 2026,"808,75"
FIN,ART-0001,abril 2026,"55,71"
FIN,ART-0001,mayo 2026,"616,10"
FIN,ART-0001,junio 2026,"819,27"
FIN,ART-0002,enero 2026,"450,15"
FIN,ART-0002,febrero 2026,"490,70"
FIN,ART-0002,marzo 2026,"484,59"
FIN,ART-0002,abril 2026,"149,78"
FIN,ART-0002,mayo 2026,"797,90"
FIN,ART-0002,junio 2026,"294,95"
FIN,ART-0004,enero 2026,"693,62"
FIN,ART-0004,febrero 2026,"102,40"
FIN,ART-0004,marzo 2026,"448,42"
FIN,ART-0004,abril 2026,"366,68"
FIN,ART-0004,mayo 2026,"87,94"
FIN,ART-0004,junio 2026,"288,47"
FIN,ART-0005,enero 2026,"224,75"
FIN,ART-0005,febrero 2026,"724,64"
FIN,ART-0005,marzo 2026,"333,15"
FIN,ART-0005,abril 2026,"131,54"
FIN,ART-0005,mayo 2026,"559,65"
FIN,ART-0005,junio 2026,"818,52"
SWE,ART-0001,enero 2026,"250,76"
SWE,ART-0001,febrero 2026,"818,59"
SWE,ART-0001,marzo 2026,"179,67"
SWE,ART-0001,abril 2026,"818,89"
SWE,ART-0001,mayo 2026,"339,29"
SWE,ART-0001,junio 2026,"380,44"
SWE,ART-0005,febrero 2026,"240,02"
SWE,ART-0005,marzo 2026,"71,02"
SWE,ART-0005,abril 2026,"830,31"
SWE,ART-0005,mayo 2026,"874,71"
SWE,ART-0005,junio 2026,"233,43"
