country,product,year,month,sales
CZE,ART-0002,2026,Jan,"375,98"
CZE,ART-0002,2026,Feb,"390,39"
CZE,ART-0002,2026,Mar,"353,73"
CZE,ART-0002,2026,May,"435,47"
CZE,ART-0003,2026,Jan,"328,97"
CZE,ART-0003,2026,Feb,"710,92"
CZE,ART-0003,2026,Mar,"39,15"
CZE,ART-0003,2026,Apr,"799,49"
CZE,ART-0003,2026,May,"160,58"
CZE,ART-0003,2026,Jun,"423,89"
DEU,ART-0002,2026,Jan,"482,01"
DEU,ART-0002,2026,Feb,"441,53"
DEU,ART-0002,2026,Mar,"131,68"
DEU,ART-0002,2026,Apr,"121,25"
DEU,ART-0002,2026,May,"853,37"
DEU,ART-0002,2026,Jun,"425,88"
DEU,ART-0003,2026,Jan,"796,87"
DEU,ART-0003,2026,Feb,"801,69"
DEU,ART-0003,2026,Mar,"840,21"
DEU,ART-0003,2026,Apr,"844,81"
DEU,ART-0003,2026,May,"850,84"
DEU,ART-0003,2026,Jun,"292,42"
DEU,ART-0004,2026,Jan,"833,11"
DEU,ART-0004,2026,Feb,"39,75"
DEU,ART-0004,2026,Mar,"232,25"
DEU,ART-0004,2026,Apr,"406,13"
DEU,ART-0004,2026,May,"133,83"
DEU,ART-0004,2026,Jun,"374,03"
DEU,ART-0005,2026,Jan,"673,67"
DEU,ART-0005,2026,Feb,"417,44"
DEU,ART-0005,2026,Mar,"806,51"
DEU,ART-0005,2026,Apr,"444,98"
DEU,ART-0005,2026,Jun,"98,03"
FIN,ART-0003,2026,Jan,"43,77"
FIN,ART-0003,2026,Feb,"133,26"
FIN,ART-0003,2026,Mar,"278,38"
FIN,ART-0003,2026,Apr,"679,19"
FIN,ART-0003,2026,May,"301,48"
FIN,ART-0003,2026,Jun,"173,54"
FIN,ART-0005,2026,Jan,"334,47"
FIN,ART-0005,2026,Feb,"343,07"
FIN,ART-0005,2026,Mar,"314,33"
FIN,ART-0005,2026,Apr,"781,94"
FIN,ART-0005,2026,May,"628,21"
FIN,ART-0005,2026,Jun,"311,35"
SWE,ART-0001,2026,Jan,"126,08"
SWE,ART-0001,2026,Feb,"690,93"
SWE,ART-0001,2026,Apr,"13,43"
SWE,ART-0001,2026,May,"550,67"
SWE,ART-0001,2026,Jun,"833,72"
SWE,ART-0002,2026,Feb,"806,61"
SWE,ART-0002,2026,Mar,"798,59"
SWE,ART-0002,2026,Apr,"532,64"
SWE,ART-0002,2026,May,"673,51"
SWE,ART-0002,2026,Jun,"654,03"
SWE,ART-0004,2026,Jan,"636,36"
SWE,ART-0004,2026,Feb,"549,98"
SWE,ART-0004,2026,Mar,"331,82"
SWE,ART-0004,2026,Apr,"824,37"
SWE,ART-0004,2026,May,"549,06"
SWE,ART-0004,2026,Jun,"238,22"
SWE,ART-0005,2026,Jan,"814,22"
SWE,ART-0005,2026,Feb,"329,89"
SWE,ART-0005,2026,Mar,"590,81"
SWE,ART-0005,2026,Apr,"825,79"
SWE,ART-0005,2026,Jun,"626,56"
