kausi,tuote,maa,myynti
01/2026,ART-0002,Česko,"375,98"
02/2026,ART-0002,Česko,"390,39"
03/2026,ART-0002,Česko,"353,73"
05/2026,ART-0002,Česko,"435,47"
01/2026,ART-0003,Česko,"328,97"
02/2026,ART-0003,Česko,"710,92"
03/2026,ART-0003,Česko,"39,15"
04/2026,ART-0003,Česko,"799,49"
05/2026,ART-0003,Česko,"160,58"
06/2026,ART-0003,Česko,"423,89"
01/2026,ART-0002,Deutschland,"482,01"
02/2026,ART-0002,Deutschland,"441,53"
03/2026,ART-0002,Deutschland,"131,68"
04/2026,ART-0002,Deutschland,"121,25"
05/2026,ART-0002,Deutschland,"853,37"
06/2026,ART-0002,Deutschland,"425,88"
01/2026,ART-0003,Deutschland,"796,87"
02/2026,ART-0003,Deutschland,"801,69"
03/2026,ART-0003,Deutschland,"840,21"
04/2026,ART-0003,Deutschland,"844,81"
05/2026,ART-0003,Deutschland,"850,84"
06/2026,ART-0003,Deutschland,"292,42"
01/2026,ART-0004,Deutschland,"833,11"
02/2026,ART-0004,Deutschland,"39,75"
03/2026,ART-0004,Deutschland,"232,25"
04/2026,ART-0004,Deutschland,"406,13"
05/2026,ART-0004,Deutschland,"133,83"
06/2026,ART-0004,Deutschland,"374,03"
01/2026,ART-0005,Deutschland,"673,67"
02/2026,ART-0005,Deutschland,"417,44"
03/2026,ART-0005,Deutschland,"806,51"
04/2026,ART-0005,Deutschland,"444,98"
06/2026,ART-0005,Deutschland,"98,03"
01/2026,ART-0003,Suomi,"43,77"
02/2026,ART-0003,Suomi,"133,26"
03/2026,ART-0003,Suomi,"278,38"
04/2026,ART-0003,Suomi,"679,19"
05/2026,ART-0003,Suomi,"301,48"
06/2026,ART-0003,Suomi,"173,54"
01/2026,ART-0005,Suomi,"334,47"
02/2026,ART-0005,Suomi,"343,07"
03/2026,ART-0005,Suomi,"314,33"
04/2026,ART-0005,Suomi,"781,94"
05/2026,ART-0005,Suomi,"628,21"
06/2026,ART-0005,Suomi,"311,35"
01/2026,ART-0001,Sverige,"126,08"
02/2026,ART-0001,Sverige,"690,93"
04/2026,ART-0001,Sverige,"13,43"
05/2026,ART-0001,Sverige,"550,67"
06/2026,ART-0001,Sverige,"833,72"
02/2026,ART-0002,Sverige,"806,61"
03/2026,ART-0002,Sverige,"798,59"
04/2026,ART-0002,Sverige,"532,64"
05/2026,ART-0002,Sverige,"673,51"
06/2026,ART-0002,Sverige,"654,03"
01/2026,ART-0004,Sverige,"636,36"
02/2026,ART-0004,Sverige,"549,98"
03/2026,ART-0004,Sverige,"331,82"
04/2026,ART-0004,Sverige,"824,37"
05/2026,ART-0004,Sverige,"549,06"
06/2026,ART-0004,Sverige,"238,22"
01/2026,ART-0005,Sverige,"814,22"
02/2026,ART-0005,Sverige,"329,89"
03/2026,ART-0005,Sverige,"590,81"
04/2026,ART-0005,Sverige,"825,79"
06/2026,ART-0005,Sverige,"626,56"
