Land,Produkt,Jahr,01,02,03,04,05,06
Deutschland,ART-0002,2026,482.01,441.53,131.68,121.25,853.37,425.88
Deutschland,ART-0003,2026,796.87,801.69,840.21,844.81,850.84,292.42
Deutschland,ART-0004,2026,833.11,39.75,232.25,406.13,133.83,374.03
Deutschland,ART-0005,2026,673.67,417.44,806.51,444.98,,98.03
Finnland,ART-0003,2026,43.77,133.26,278.38,679.19,301.48,173.54
Finnland,ART-0005,2026,334.47,343.07,314.33,781.94,628.21,311.35
Schweden,ART-0001,2026,126.08,690.93,,13.43,550.67,833.72
Schweden,ART-0002,2026,,806.61,798.59,532.64,673.51,654.03
Schweden,ART-0004,2026,636.36,549.98,331.82,824.37,549.06,238.22
Schweden,ART-0005,2026,814.22,329.89,590.81,825.79,,626.56
Tschechien,ART-0002,2026,375.98,390.39,353.73,,435.47,
Tschechien,ART-0003,2026,328.97,710.92,39.15,799.49,160.58,423.89
