maa,tuote,kuukausi,myynti
  Tšekki ,  ART-0002 ,  tammikuu 2026 ,"  375,98 "
  Tšekki ,  ART-0002 ,  helmikuu 2026 ,"  390,39 "
  Tšekki ,  ART-0002 ,  maaliskuu 2026 ,"  353,73 "
  Tšekki ,  ART-0002 ,  toukokuu 2026 ,"  435,47 "
  Tšekki ,  ART-0003 ,  tammikuu 2026 ,"  328,97 "
  Tšekki ,  ART-0003 ,  helmikuu 2026 ,"  710,92 "
  Tšekki ,  ART-0003 ,  maaliskuu 2026 ,"  39,15 "
  Tšekki ,  ART-0003 ,  huhtikuu 2026 ,"  799,49 "
  Tšekki ,  ART-0003 ,  toukokuu 2026 ,"  160,58 "
  Tšekki ,  ART-0003 ,  kesäkuu 2026 ,"  423,89 "
  Saksa ,  ART-0002 ,  tammikuu 2026 ,"  482,01 "
  Saksa ,  ART-0002 ,  helmikuu 2026 ,"  441,53 "
  Saksa ,  ART-0002 ,  maaliskuu 2026 ,"  131,68 "
  Saksa ,  ART-0002 ,  huhtikuu 2026 ,"  121,25 "
  Saksa ,  ART-0002 ,  toukokuu 2026 ,"  853,37 "
  Saksa ,  ART-0002 ,  kesäkuu 2026 ,"  425,88 "
  Saksa ,  ART-0003 ,  tammikuu 2026 ,"  796,87 "
  Saksa ,  ART-0003 ,  helmikuu 2026 ,"  801,69 "
  Saksa ,  ART-0003 ,  maaliskuu 2026 ,"  840,21 "
  Saksa ,  ART-0003 ,  huhtikuu 2026 ,"  844,81 "
  Saksa ,  ART-0003 ,  toukokuu 2026 ,"  850,84 "
  Saksa ,  ART-0003 ,  kesäkuu 2026 ,"  292,42 "
  Saksa ,  ART-0004 ,  tammikuu 2026 ,"  833,11 "
  Saksa ,  ART-0004 ,  helmikuu 2026 ,"  39,75 "
  Saksa ,  ART-0004 ,  maaliskuu 2026 ,"  232,25 "
  Saksa ,  ART-0004 ,  huhtikuu 2026 ,"  406,13 "
  Saksa ,  ART-0004 ,  toukokuu 2026 ,"  133,83 "
  Saksa ,  ART-0004 ,  kesäkuu 2026 ,"  374,03 "
  Saksa ,  ART-0005 ,  tammikuu 2026 ,"  673,67 "
  Saksa ,  ART-0005 ,  helmikuu 2026 ,"  417,44 "
  Saksa ,  ART-0005 ,  maaliskuu 2026 ,"  806,51 "
  Saksa ,  ART-0005 ,  huhtikuu 2026 ,"  444,98 "
  Saksa ,  ART-0005 ,  kesäkuu 2026 ,"  98,03 "
  Suomi ,  ART-0003 ,  tammikuu 2026 ,"  43,77 "
  Suomi ,  ART-0003 ,  helmikuu 2026 ,"  133,26 "
  Suomi ,  ART-0003 ,  maaliskuu 2026 ,"  278,38 "
  Suomi ,  ART-0003 ,  huhtikuu 2026 ,"  679,19 "
  Suomi ,  ART-0003 ,  toukokuu 2026 ,"  301,48 "
  Suomi ,  ART-0003 ,  kesäkuu 2026 ,"  173,54 "
  Suomi ,  ART-0005 ,  tammikuu 2026 ,"  334,47 "
  Suomi ,  ART-0005 ,  helmikuu 2026 ,"  343,07 "
  Suomi ,  ART-0005 ,  maaliskuu 2026 ,"  314,33 "
  Suomi ,  ART-0005 ,  huhtikuu 2026 ,"  781,94 "
  Suomi ,  ART-0005 ,  toukokuu 2026 ,"  628,21 "
  Suomi ,  ART-0005 ,  kesäkuu 2026 ,"  311,35 "
  Ruotsi ,  ART-0001 ,  tammikuu 2026 ,"  126,08 "
  Ruotsi ,  ART-0001 ,  helmikuu 2026 ,"  690,93 "
  Ruotsi ,  ART-0001 ,  huhtikuu 2026 ,"  13,43 "
  Ruotsi ,  ART-0001 ,  toukokuu 2026 ,"  550,67 "
  Ruotsi ,  ART-0001 ,  kesäkuu 2026 ,"  833,72 "
  Ruotsi ,  ART-0002 ,  helmikuu 2026 ,"  806,61 "
  Ruotsi ,  ART-0002 ,  maaliskuu 2026 ,"  798,59 "
  Ruotsi ,  ART-0002 ,  huhtikuu 2026 ,"  532,64 "
  Ruotsi ,  ART-0002 ,  toukokuu 2026 ,"  673,51 "
  Ruotsi ,  ART-0002 ,  kesäkuu 2026 ,"  654,03 "
  Ruotsi ,  ART-0004 ,  tammikuu 2026 ,"  636,36 "
  Ruotsi ,  ART-0004 ,  helmikuu 2026 ,"  549,98 "
  Ruotsi ,  ART-0004 ,  maaliskuu 2026 ,"  331,82 "
  Ruotsi ,  ART-0004 ,  huhtikuu 2026 ,"  824,37 "
  Ruotsi ,  ART-0004 ,  toukokuu 2026 ,"  549,06 "
  Ruotsi ,  ART-0004 ,  kesäkuu 2026 ,"  238,22 "
  Ruotsi ,  ART-0005 ,  tammikuu 2026 ,"  814,22 "
  Ruotsi ,  ART-0005 ,  helmikuu 2026 ,"  329,89 "
  Ruotsi ,  ART-0005 ,  maaliskuu 2026 ,"  590,81 "
  Ruotsi ,  ART-0005 ,  huhtikuu 2026 ,"  825,79 "
  Ruotsi ,  ART-0005 ,  kesäkuu 2026 ,"  626,56 "
