Periode,Produkt,Land,Umsatz
2026-01,ART-0002,Czech Republic,"375,98"
2026-02,ART-0002,Czech Republic,"390,39"
2026-03,ART-0002,Czech Republic,"353,73"
2026-05,ART-0002,Czech Republic,"435,47"
2026-01,ART-0003,Czech Republic,"328,97"
2026-02,ART-0003,Czech Republic,"710,92"
2026-03,ART-0003,Czech Republic,"39,15"
2026-04,ART-0003,Czech Republic,"799,49"
2026-05,ART-0003,Czech Republic,"160,58"
2026-06,ART-0003,Czech Republic,"423,89"
2026-01,ART-0002,Germany,"482,01"
2026-02,ART-0002,Germany,"441,53"
2026-03,ART-0002,Germany,"131,68"
2026-04,ART-0002,Germany,"121,25"
2026-05,ART-0002,Germany,"853,37"
2026-06,ART-0002,Germany,"425,88"
2026-01,ART-0003,Germany,"796,87"
2026-02,ART-0003,Germany,"801,69"
2026-03,ART-0003,Germany,"840,21"
2026-04,ART-0003,Germany,"844,81"
2026-05,ART-0003,Germany,"850,84"
2026-06,ART-0003,Germany,"292,42"
2026-01,ART-0004,Germany,"833,11"
2026-02,ART-0004,Germany,"39,75"
2026-03,ART-0004,Germany,"232,25"
2026-04,ART-0004,Germany,"406,13"
2026-05,ART-0004,Germany,"133,83"
2026-06,ART-0004,Germany,"374,03"
2026-01,ART-0005,Germany,"673,67"
2026-02,ART-0005,Germany,"417,44"
2026-03,ART-0005,Germany,"806,51"
2026-04,ART-0005,Germany,"444,98"
2026-06,ART-0005,Germany,"98,03"
2026-01,ART-0003,Finland,"43,77"
2026-02,ART-0003,Finland,"133,26"
2026-03,ART-0003,Finland,"278,38"
2026-04,ART-0003,Finland,"679,19"
2026-05,ART-0003,Finland,"301,48"
2026-06,ART-0003,Finland,"173,54"
2026-01,ART-0005,Finland,"334,47"
2026-02,ART-0005,Finland,"343,07"
2026-03,ART-0005,Finland,"314,33"
2026-04,ART-0005,Finland,"781,94"
2026-05,ART-0005,Finland,"628,21"
2026-06,ART-0005,Finland,"311,35"
2026-01,ART-0001,Sweden,"126,08"
2026-02,ART-0001,Sweden,"690,93"
2026-04,ART-0001,Sweden,"13,43"
2026-05,ART-0001,Sweden,"550,67"
2026-06,ART-0001,Sweden,"833,72"
2026-02,ART-0002,Sweden,"806,61"
2026-03,ART-0002,Sweden,"798,59"
2026-04,ART-0002,Sweden,"532,64"
2026-05,ART-0002,Sweden,"673,51"
2026-06,ART-0002,Sweden,"654,03"
2026-01,ART-0004,Sweden,"636,36"
2026-02,ART-0004,Sweden,"549,98"
2026-03,ART-0004,Sweden,"331,82"
2026-04,ART-0004,Sweden,"824,37"
2026-05,ART-0004,Sweden,"549,06"
2026-06,ART-0004,Sweden,"238,22"
2026-01,ART-0005,Sweden,"814,22"
2026-02,ART-0005,Sweden,"329,89"
2026-03,ART-0005,Sweden,"590,81"
2026-04,ART-0005,Sweden,"825,79"
2026-06,ART-0005,Sweden,"626,56"
