Land,Produkt,Monat,Umsatz
Tschechien,ART-0002,Januar 2026,"375,98"
Tschechien,ART-0002,Februar 2026,"390,39"
Tschechien,ART-0002,März 2026,"353,73"
Tschechien,ART-0002,Mai 2026,"435,47"
Tschechien,ART-0003,Januar 2026,"328,97"
Tschechien,ART-0003,Februar 2026,"710,92"
Tschechien,ART-0003,März 2026,"39,15"
Tschechien,ART-0003,April 2026,"799,49"
Tschechien,ART-0003,Mai 2026,"160,58"
Tschechien,ART-0003,Juni 2026,"423,89"
Deutschland,ART-0002,Januar 2026,"482,01"
Deutschland,ART-0002,Februar 2026,"441,53"
Deutschland,ART-0002,März 2026,"131,68"
Deutschland,ART-0002,April 2026,"121,25"
Deutschland,ART-0002,Mai 2026,"853,37"
Deutschland,ART-0002,Juni 2026,"425,88"
Deutschland,ART-0003,Januar 2026,"796,87"
Deutschland,ART-0003,Februar 2026,"801,69"
Deutschland,ART-0003,März 2026,"840,21"
Deutschland,ART-0003,April 2026,"844,81"
Deutschland,ART-0003,Mai 2026,"850,84"
Deutschland,ART-0003,Juni 2026,"292,42"
Deutschland,ART-0004,Januar 2026,"833,11"
Deutschland,ART-0004,Februar 2026,"39,75"
Deutschland,ART-0004,März 2026,"232,25"
Deutschland,ART-0004,April 2026,"406,13"
Deutschland,ART-0004,Mai 2026,"133,83"
Deutschland,ART-0004,Juni 2026,"374,03"
Deutschland,ART-0005,Januar 2026,"673,67"
Deutschland,ART-0005,Februar 2026,"417,44"
Deutschland,ART-0005,März 2026,"806,51"
Deutschland,ART-0005,April 2026,"444,98"
Deutschland,ART-0005,Juni 2026,"98,03"
Finnland,ART-0003,Januar 2026,"43,77"
Finnland,ART-0003,Februar 2026,"133,26"
Finnland,ART-0003,März 2026,"278,38"
Finnland,ART-0003,April 2026,"679,19"
Finnland,ART-0003,Mai 2026,"301,48"
Finnland,ART-0003,Juni 2026,"173,54"
Finnland,ART-0005,Januar 2026,"334,47"
Finnland,ART-0005,Februar 2026,"343,07"
Finnland,ART-0005,März 2026,"314,33"
Finnland,ART-0005,April 2026,"781,94"
Finnland,ART-0005,Mai 2026,"628,21"
Finnland,ART-0005,Juni 2026,"311,35"
Schweden,ART-0001,Januar 2026,"126,08"
Schweden,ART-0001,Februar 2026,"690,93"
Schweden,ART-0001,April 2026,"13,43"
Schweden,ART-0001,Mai 2026,"550,67"
Schweden,ART-0001,Juni 2026,"833,72"
Schweden,ART-0002,Februar 2026,"806,61"
Schweden,ART-0002,März 2026,"798,59"
Schweden,ART-0002,April 2026,"532,64"
Schweden,ART-0002,Mai 2026,"673,51"
Schweden,ART-0002,Juni 2026,"654,03"
Schweden,ART-0004,Januar 2026,"636,36"
Schweden,ART-0004,Februar 2026,"549,98"
Schweden,ART-0004,März 2026,"331,82"
Schweden,ART-0004,April 2026,"824,37"
Schweden,ART-0004,Mai 2026,"549,06"
Schweden,ART-0004,Juni 2026,"238,22"
Schweden,ART-0005,Januar 2026,"814,22"
Schweden,ART-0005,Februar 2026,"329,89"
Schweden,ART-0005,März 2026,"590,81"
Schweden,ART-0005,April 2026,"825,79"
Schweden,ART-0005,Juni 2026,"626,56"
