kuukausi,vuosi,tuote,maa,myynti
1,2026,ART-0002,CZE,375.98
2,2026,ART-0002,CZE,390.39
3,2026,ART-0002,CZE,353.73
5,2026,ART-0002,CZE,435.47
1,2026,ART-0003,CZE,328.97
2,2026,ART-0003,CZE,710.92
3,2026,ART-0003,CZE,39.15
4,2026,ART-0003,CZE,799.49
5,2026,ART-0003,CZE,160.58
6,2026,ART-0003,CZE,423.89
1,2026,ART-0002,DEU,482.01
2,2026,ART-0002,DEU,441.53
3,2026,ART-0002,DEU,131.68
4,2026,ART-0002,DEU,121.25
5,2026,ART-0002,DEU,853.37
6,2026,ART-0002,DEU,425.88
1,2026,ART-0003,DEU,796.87
2,2026,ART-0003,DEU,801.69
3,2026,ART-0003,DEU,840.21
4,2026,ART-0003,DEU,844.81
5,2026,ART-0003,DEU,850.84
6,2026,ART-0003,DEU,292.42
1,2026,ART-0004,DEU,833.11
2,2026,ART-0004,DEU,39.75
3,2026,ART-0004,DEU,232.25
4,2026,ART-0004,DEU,406.13
5,2026,ART-0004,DEU,133.83
6,2026,ART-0004,DEU,374.03
1,2026,ART-0005,DEU,673.67
2,2026,ART-0005,DEU,417.44
3,2026,ART-0005,DEU,806.51
4,2026,ART-0005,DEU,444.98
6,2026,ART-0005,DEU,98.03
1,2026,ART-0003,FIN,43.77
2,2026,ART-0003,FIN,133.26
3,2026,ART-0003,FIN,278.38
4,2026,ART-0003,FIN,679.19
5,2026,ART-0003,FIN,301.48
6,2026,ART-0003,FIN,173.54
1,2026,ART-0005,FIN,334.47
2,2026,ART-0005,FIN,343.07
3,2026,ART-0005,FIN,314.33
4,2026,ART-0005,FIN,781.94
5,2026,ART-0005,FIN,628.21
6,2026,ART-0005,FIN,311.35
1,2026,ART-0001,SWE,126.08
2,2026,ART-0001,SWE,690.93
4,2026,ART-0001,SWE,13.43
5,2026,ART-0001,SWE,550.67
6,2026,ART-0001,SWE,833.72
2,2026,ART-0002,SWE,806.61
3,2026,ART-0002,SWE,798.59
4,2026,ART-0002,SWE,532.64
5,2026,ART-0002,SWE,673.51
6,2026,ART-0002,SWE,654.03
1,2026,ART-0004,SWE,636.36
2,2026,ART-0004,SWE,549.98
3,2026,ART-0004,SWE,331.82
4,2026,ART-0004,SWE,824.37
5,2026,ART-0004,SWE,549.06
6,2026,ART-0004,SWE,238.22
1,2026,ART-0005,SWE,814.22
2,2026,ART-0005,SWE,329.89
3,2026,ART-0005,SWE,590.81
4,2026,ART-0005,SWE,825.79
6,2026,ART-0005,SWE,626.56
