land,produkt,månad,försäljning
Tjeckien,ART-0002,januari 2026,"375,98"
Tjeckien,ART-0002,februari 2026,"390,39"
Tjeckien,ART-0002,mars 2026,"353,73"
Tjeckien,ART-0002,maj 2026,"435,47"
Tjeckien,ART-0003,januari 2026,"328,97"
Tjeckien,ART-0003,februari 2026,"710,92"
Tjeckien,ART-0003,mars 2026,"39,15"
Tjeckien,ART-0003,april 2026,"799,49"
Tjeckien,ART-0003,maj 2026,"160,58"
Tjeckien,ART-0003,juni 2026,"423,89"
Tyskland,ART-0002,januari 2026,"482,01"
Tyskland,ART-0002,februari 2026,"441,53"
Tyskland,ART-0002,mars 2026,"131,68"
Tyskland,ART-0002,april 2026,"121,25"
Tyskland,ART-0002,maj 2026,"853,37"
Tyskland,ART-0002,juni 2026,"425,88"
Tyskland,ART-0003,januari 2026,"796,87"
Tyskland,ART-0003,februari 2026,"801,69"
Tyskland,ART-0003,mars 2026,"840,21"
Tyskland,ART-0003,april 2026,"844,81"
Tyskland,ART-0003,maj 2026,"850,84"
Tyskland,ART-0003,juni 2026,"292,42"
Tyskland,ART-0004,januari 2026,"833,11"
Tyskland,ART-0004,februari 2026,"39,75"
Tyskland,ART-0004,mars 2026,"232,25"
Tyskland,ART-0004,april 2026,"406,13"
Tyskland,ART-0004,maj 2026,"133,83"
Tyskland,ART-0004,juni 2026,"374,03"
Tyskland,ART-0005,januari 2026,"673,67"
Tyskland,ART-0005,februari 2026,"417,44"
Tyskland,ART-0005,mars 2026,"806,51"
Tyskland,ART-0005,april 2026,"444,98"
Tyskland,ART-0005,juni 2026,"98,03"
Finland,ART-0003,januari 2026,"43,77"
Finland,ART-0003,februari 2026,"133,26"
Finland,ART-0003,mars 2026,"278,38"
Finland,ART-0003,april 2026,"679,19"
Finland,ART-0003,maj 2026,"301,48"
Finland,ART-0003,juni 2026,"173,54"
Finland,ART-0005,januari 2026,"334,47"
Finland,ART-0005,februari 2026,"343,07"
Finland,ART-0005,mars 2026,"314,33"
Finland,ART-0005,april 2026,"781,94"
Finland,ART-0005,maj 2026,"628,21"
Finland,ART-0005,juni 2026,"311,35"
Sverige,ART-0001,januari 2026,"126,08"
Sverige,ART-0001,februari 2026,"690,93"
Sverige,ART-0001,april 2026,"13,43"
Sverige,ART-0001,maj 2026,"550,67"
Sverige,ART-0001,juni 2026,"833,72"
Sverige,ART-0002,februari 2026,"806,61"
Sverige,ART-0002,mars 2026,"798,59"
Sverige,ART-0002,april 2026,"532,64"
Sverige,ART-0002,maj 2026,"673,51"
Sverige,ART-0002,juni 2026,"654,03"
Sverige,ART-0004,januari 2026,"636,36"
Sverige,ART-0004,februari 2026,"549,98"
Sverige,ART-0004,mars 2026,"331,82"
Sverige,ART-0004,april 2026,"824,37"
Sverige,ART-0004,maj 2026,"549,06"
Sverige,ART-0004,juni 2026,"238,22"
Sverige,ART-0005,januari 2026,"814,22"
Sverige,ART-0005,februari 2026,"329,89"
Sverige,ART-0005,mars 2026,"590,81"
Sverige,ART-0005,april 2026,"825,79"
Sverige,ART-0005,juni 2026,"626,56"
