période,produit,pays,ventes
janvier 2026,ART-0002,Tchéquie,375.98
février 2026,ART-0002,Tchéquie,390.39
mars 2026,ART-0002,Tchéquie,353.73
mai 2026,ART-0002,Tchéquie,435.47
janvier 2026,ART-0003,Tchéquie,328.97
février 2026,ART-0003,Tchéquie,710.92
mars 2026,ART-0003,Tchéquie,39.15
avril 2026,ART-0003,Tchéquie,799.49
mai 2026,ART-0003,Tchéquie,160.58
juin 2026,ART-0003,Tchéquie,423.89
janvier 2026,ART-0002,Allemagne,482.01
février 2026,ART-0002,Allemagne,441.53
mars 2026,ART-0002,Allemagne,131.68
avril 2026,ART-0002,Allemagne,121.25
mai 2026,ART-0002,Allemagne,853.37
juin 2026,ART-0002,Allemagne,425.88
janvier 2026,ART-0003,Allemagne,796.87
février 2026,ART-0003,Allemagne,801.69
mars 2026,ART-0003,Allemagne,840.21
avril 2026,ART-0003,Allemagne,844.81
mai 2026,ART-0003,Allemagne,850.84
juin 2026,ART-0003,Allemagne,292.42
janvier 2026,ART-0004,Allemagne,833.11
février 2026,ART-0004,Allemagne,39.75
mars 2026,ART-0004,Allemagne,232.25
avril 2026,ART-0004,Allemagne,406.13
mai 2026,ART-0004,Allemagne,133.83
juin 2026,ART-0004,Allemagne,374.03
janvier 2026,ART-0005,Allemagne,673.67
février 2026,ART-0005,Allemagne,417.44
mars 2026,ART-0005,Allemagne,806.51
avril 2026,ART-0005,Allemagne,444.98
juin 2026,ART-0005,Allemagne,98.03
janvier 2026,ART-0003,Finlande,43.77
février 2026,ART-0003,Finlande,133.26
mars 2026,ART-0003,Finlande,278.38
avril 2026,ART-0003,Finlande,679.19
mai 2026,ART-0003,Finlande,301.48
juin 2026,ART-0003,Finlande,173.54
janvier 2026,ART-0005,Finlande,334.47
février 2026,ART-0005,Finlande,343.07
mars 2026,ART-0005,Finlande,314.33
avril 2026,ART-0005,Finlande,781.94
mai 2026,ART-0005,Finlande,628.21
juin 2026,ART-0005,Finlande,311.35
janvier 2026,ART-0001,Suède,126.08
février 2026,ART-0001,Suède,690.93
avril 2026,ART-0001,Suède,13.43
mai 2026,ART-0001,Suède,550.67
juin 2026,ART-0001,Suède,833.72
février 2026,ART-0002,Suède,806.61
mars 2026,ART-0002,Suède,798.59
avril 2026,ART-0002,Suède,532.64
mai 2026,ART-0002,Suède,673.51
juin 2026,ART-0002,Suède,654.03
janvier 2026,ART-0004,Suède,636.36
février 2026,ART-0004,Suède,549.98
mars 2026,ART-0004,Suède,331.82
avril 2026,ART-0004,Suède,824.37
mai 2026,ART-0004,Suède,549.06
juin 2026,ART-0004,Suède,238.22
janvier 2026,ART-0005,Suède,814.22
février 2026,ART-0005,Suède,329.89
mars 2026,ART-0005,Suède,590.81
avril 2026,ART-0005,Suède,825.79
juin 2026,ART-0005,Suède,626.56
