país,producto,mes,ventas
Czechia,ART-0002,enero 2026,375.98
Czechia,ART-0002,febrero 2026,390.39
Czechia,ART-0002,marzo 2026,353.73
Czechia,ART-0002,mayo 2026,435.47
Czechia,ART-0003,enero 2026,328.97
Czechia,ART-0003,febrero 2026,710.92
Czechia,ART-0003,marzo 2026,39.15
Czechia,ART-0003,abril 2026,799.49
Czechia,ART-0003,mayo 2026,160.58
Czechia,ART-0003,junio 2026,423.89
Germany,ART-0002,enero 2026,482.01
Germany,ART-0002,febrero 2026,441.53
Germany,ART-0002,marzo 2026,131.68
Germany,ART-0002,abril 2026,121.25
Germany,ART-0002,mayo 2026,853.37
Germany,ART-0002,junio 2026,425.88
Germany,ART-0003,enero 2026,796.87
Germany,ART-0003,febrero 2026,801.69
Germany,ART-0003,marzo 2026,840.21
Germany,ART-0003,abril 2026,844.81
Germany,ART-0003,mayo 2026,850.84
Germany,ART-0003,junio 2026,292.42
Germany,ART-0004,enero 2026,833.11
Germany,ART-0004,febrero 2026,39.75
Germany,ART-0004,marzo 2026,232.25
Germany,ART-0004,abril 2026,406.13
Germany,ART-0004,mayo 2026,133.83
Germany,ART-0004,junio 2026,374.03
Germany,ART-0005,enero 2026,673.67
Germany,ART-0005,febrero 2026,417.44
Germany,ART-0005,marzo 2026,806.51
Germany,ART-0005,abril 2026,444.98
Germany,ART-0005,junio 2026,98.03
Finland,ART-0003,enero 2026,43.77
Finland,ART-0003,febrero 2026,133.26
Finland,ART-0003,marzo 2026,278.38
Finland,ART-0003,abril 2026,679.19
Finland,ART-0003,mayo 2026,301.48
Finland,ART-0003,junio 2026,173.54
Finland,ART-0005,enero 2026,334.47
Finland,ART-0005,febrero 2026,343.07
Finland,ART-0005,marzo 2026,314.33
Finland,ART-0005,abril 2026,781.94
Finland,ART-0005,mayo 2026,628.21
Finland,ART-0005,junio 2026,311.35
Sweden,ART-0001,enero 2026,126.08
Sweden,ART-0001,febrero 2026,690.93
Sweden,ART-0001,abril 2026,13.43
Sweden,ART-0001,mayo 2026,550.67
Sweden,ART-0001,junio 2026,833.72
Sweden,ART-0002,febrero 2026,806.61
Sweden,ART-0002,marzo 2026,798.59
Sweden,ART-0002,abril 2026,532.64
Sweden,ART-0002,mayo 2026,673.51
Sweden,ART-0002,junio 2026,654.03
Sweden,ART-0004,enero 2026,636.36
Sweden,ART-0004,febrero 2026,549.98
Sweden,ART-0004,marzo 2026,331.82
Sweden,ART-0004,abril 2026,824.37
Sweden,ART-0004,mayo 2026,549.06
Sweden,ART-0004,junio 2026,238.22
Sweden,ART-0005,enero 2026,814.22
Sweden,ART-0005,febrero 2026,329.89
Sweden,ART-0005,marzo 2026,590.81
Sweden,ART-0005,abril 2026,825.79
Sweden,ART-0005,junio 2026,626.56
