country,product,month,sales
Česká republika,ART-0002,leden 2026,"375,98"
Česká republika,ART-0002,únor 2026,"390,39"
Česká republika,ART-0002,březen 2026,"353,73"
Česká republika,ART-0002,květen 2026,"435,47"
Česká republika,ART-0003,leden 2026,"328,97"
Česká republika,ART-0003,únor 2026,"710,92"
Česká republika,ART-0003,březen 2026,"39,15"
Česká republika,ART-0003,duben 2026,"799,49"
Česká republika,ART-0003,květen 2026,"160,58"
Česká republika,ART-0003,červen 2026,"423,89"
Deutschland,ART-0002,leden 2026,"482,01"
Deutschland,ART-0002,únor 2026,"441,53"
Deutschland,ART-0002,březen 2026,"131,68"
Deutschland,ART-0002,duben 2026,"121,25"
Deutschland,ART-0002,květen 2026,"853,37"
Deutschland,ART-0002,červen 2026,"425,88"
Deutschland,ART-0003,leden 2026,"796,87"
Deutschland,ART-0003,únor 2026,"801,69"
Deutschland,ART-0003,březen 2026,"840,21"
Deutschland,ART-0003,duben 2026,"844,81"
Deutschland,ART-0003,květen 2026,"850,84"
Deutschland,ART-0003,červen 2026,"292,42"
Deutschland,ART-0004,leden 2026,"833,11"
Deutschland,ART-0004,únor 2026,"39,75"
Deutschland,ART-0004,březen 2026,"232,25"
Deutschland,ART-0004,duben 2026,"406,13"
Deutschland,ART-0004,květen 2026,"133,83"
Deutschland,ART-0004,červen 2026,"374,03"
Deutschland,ART-0005,leden 2026,"673,67"
Deutschland,ART-0005,únor 2026,"417,44"
Deutschland,ART-0005,březen 2026,"806,51"
Deutschland,ART-0005,duben 2026,"444,98"
Deutschland,ART-0005,červen 2026,"98,03"
Suomi,ART-0003,leden 2026,"43,77"
Suomi,ART-0003,únor 2026,"133,26"
Suomi,ART-0003,březen 2026,"278,38"
Suomi,ART-0003,duben 2026,"679,19"
Suomi,ART-0003,květen 2026,"301,48"
Suomi,ART-0003,červen 2026,"173,54"
Suomi,ART-0005,leden 2026,"334,47"
Suomi,ART-0005,únor 2026,"343,07"
Suomi,ART-0005,březen 2026,"314,33"
Suomi,ART-0005,duben 2026,"781,94"
Suomi,ART-0005,květen 2026,"628,21"
Suomi,ART-0005,červen 2026,"311,35"
Sverige,ART-0001,leden 2026,"126,08"
Sverige,ART-0001,únor 2026,"690,93"
Sverige,ART-0001,duben 2026,"13,43"
Sverige,ART-0001,květen 2026,"550,67"
Sverige,ART-0001,červen 2026,"833,72"
Sverige,ART-0002,únor 2026,"806,61"
Sverige,ART-0002,březen 2026,"798,59"
Sverige,ART-0002,duben 2026,"532,64"
Sverige,ART-0002,květen 2026,"673,51"
Sverige,ART-0002,červen 2026,"654,03"
Sverige,ART-0004,leden 2026,"636,36"
Sverige,ART-0004,únor 2026,"549,98"
Sverige,ART-0004,březen 2026,"331,82"
Sverige,ART-0004,duben 2026,"824,37"
Sverige,ART-0004,květen 2026,"549,06"
Sverige,ART-0004,červen 2026,"238,22"
Sverige,ART-0005,leden 2026,"814,22"
Sverige,ART-0005,únor 2026,"329,89"
Sverige,ART-0005,březen 2026,"590,81"
Sverige,ART-0005,duben 2026,"825,79"
Sverige,ART-0005,červen 2026,"626,56"
