period,product,country,sales
  Janvier 2026 ,  Art-0002 ,  Tchéquie ,"  375,98 "
  Février 2026 ,  Art-0002 ,  Tchéquie ,"  390,39 "
  Mars 2026 ,  Art-0002 ,  Tchéquie ,"  353,73 "
  Mai 2026 ,  Art-0002 ,  Tchéquie ,"  435,47 "
  Janvier 2026 ,  Art-0003 ,  Tchéquie ,"  328,97 "
  Février 2026 ,  Art-0003 ,  Tchéquie ,"  710,92 "
  Mars 2026 ,  Art-0003 ,  Tchéquie ,"  39,15 "
  Avril 2026 ,  Art-0003 ,  Tchéquie ,"  799,49 "
  Mai 2026 ,  Art-0003 ,  Tchéquie ,"  160,58 "
  Juin 2026 ,  Art-0003 ,  Tchéquie ,"  423,89 "
  Janvier 2026 ,  Art-0002 ,  Allemagne ,"  482,01 "
  Février 2026 ,  Art-0002 ,  Allemagne ,"  441,53 "
  Mars 2026 ,  Art-0002 ,  Allemagne ,"  131,68 "
  Avril 2026 ,  Art-0002 ,  Allemagne ,"  121,25 "
  Mai 2026 ,  Art-0002 ,  Allemagne ,"  853,37 "
  Juin 2026 ,  Art-0002 ,  Allemagne ,"  425,88 "
  Janvier 2026 ,  Art-0003 ,  Allemagne ,"  796,87 "
  Février 2026 ,  Art-0003 ,  Allemagne ,"  801,69 "
  Mars 2026 ,  Art-0003 ,  Allemagne ,"  840,21 "
  Avril 2026 ,  Art-0003 ,  Allemagne ,"  844,81 "
  Mai 2026 ,  Art-0003 ,  Allemagne ,"  850,84 "
  Juin 2026 ,  Art-0003 ,  Allemagne ,"  292,42 "
  Janvier 2026 ,  Art-0004 ,  Allemagne ,"  833,11 "
  Février 2026 ,  Art-0004 ,  Allemagne ,"  39,75 "
  Mars 2026 ,  Art-0004 ,  Allemagne ,"  232,25 "
  Avril 2026 ,  Art-0004 ,  Allemagne ,"  406,13 "
  Mai 2026 ,  Art-0004 ,  Allemagne ,"  133,83 "
  Juin 2026 ,  Art-0004 ,  Allemagne ,"  374,03 "
  Janvier 2026 ,  Art-0005 ,  Allemagne ,"  673,67 "
  Février 2026 ,  Art-0005 ,  Allemagne ,"  417,44 "
  Mars 2026 ,  Art-0005 ,  Allemagne ,"  806,51 "
  Avril 2026 ,  Art-0005 ,  Allemagne ,"  444,98 "
  Juin 2026 ,  Art-0005 ,  Allemagne ,"  98,03 "
  Janvier 2026 ,  Art-0003 ,  Finlande ,"  43,77 "
  Février 2026 ,  Art-0003 ,  Finlande ,"  133,26 "
  Mars 2026 ,  Art-0003 ,  Finlande ,"  278,38 "
  Avril 2026 ,  Art-0003 ,  Finlande ,"  679,19 "
  Mai 2026 ,  Art-0003 ,  Finlande ,"  301,48 "
  Juin 2026 ,  Art-0003 ,  Finlande ,"  173,54 "
  Janvier 2026 ,  Art-0005 ,  Finlande ,"  334,47 "
  Février 2026 ,  Art-0005 ,  Finlande ,"  343,07 "
  Mars 2026 ,  Art-0005 ,  Finlande ,"  314,33 "
  Avril 2026 ,  Art-0005 ,  Finlande ,"  781,94 "
  Mai 2026 ,  Art-0005 ,  Finlande ,"  628,21 "
  Juin 2026 ,  Art-0005 ,  Finlande ,"  311,35 "
  Janvier 2026 ,  Art-0001 ,  Suède ,"  126,08 "
  Février 2026 ,  Art-0001 ,  Suède ,"  690,93 "
  Avril 2026 ,  Art-0001 ,  Suède ,"  13,43 "
  Mai 2026 ,  Art-0001 ,  Suède ,"  550,67 "
  Juin 2026 ,  Art-0001 ,  Suède ,"  833,72 "
  Février 2026 ,  Art-0002 ,  Suède ,"  806,61 "
  Mars 2026 ,  Art-0002 ,  Suède ,"  798,59 "
  Avril 2026 ,  Art-0002 ,  Suède ,"  532,64 "
  Mai 2026 ,  Art-0002 ,  Suède ,"  673,51 "
  Juin 2026 ,  Art-0002 ,  Suède ,"  654,03 "
  Janvier 2026 ,  Art-0004 ,  Suède ,"  636,36 "
  Février 2026 ,  Art-0004 ,  Suède ,"  549,98 "
  Mars 2026 ,  Art-0004 ,  Suède ,"  331,82 "
  Avril 2026 ,  Art-0004 ,  Suède ,"  824,37 "
  Mai 2026 ,  Art-0004 ,  Suède ,"  549,06 "
  Juin 2026 ,  Art-0004 ,  Suède ,"  238,22 "
  Janvier 2026 ,  Art-0005 ,  Suède ,"  814,22 "
  Février 2026 ,  Art-0005 ,  Suède ,"  329,89 "
  Mars 2026 ,  Art-0005 ,  Suède ,"  590,81 "
  Avril 2026 ,  Art-0005 ,  Suède ,"  825,79 "
  Juin 2026 ,  Art-0005 ,  Suède ,"  626,56 "
