země,produkt,měsíc,tržby
CZE,ART-0002,enero 2026,"375,98"
CZE,ART-0002,febrero 2026,"390,39"
CZE,ART-0002,marzo 2026,"353,73"
CZE,ART-0002,mayo 2026,"435,47"
CZE,ART-0003,enero 2026,"328,97"
CZE,ART-0003,febrero 2026,"710,92"
CZE,ART-0003,marzo 2026,"39,15"
CZE,ART-0003,abril 2026,"799,49"
CZE,ART-0003,mayo 2026,"160,58"
CZE,ART-0003,junio 2026,"423,89"
DEU,ART-0002,enero 2026,"482,01"
DEU,ART-0002,febrero 2026,"441,53"
DEU,ART-0002,marzo 2026,"131,68"
DEU,ART-0002,abril 2026,"121,25"
DEU,ART-0002,mayo 2026,"853,37"
DEU,ART-0002,junio 2026,"425,88"
DEU,ART-0003,enero 2026,"796,87"
DEU,ART-0003,febrero 2026,"801,69"
DEU,ART-0003,marzo 2026,"840,21"
DEU,ART-0003,abril 2026,"844,81"
DEU,ART-0003,mayo 2026,"850,84"
DEU,ART-0003,junio 2026,"292,42"
DEU,ART-0004,enero 2026,"833,11"
DEU,ART-0004,febrero 2026,"39,75"
DEU,ART-0004,marzo 2026,"232,25"
DEU,ART-0004,abril 2026,"406,13"
DEU,ART-0004,mayo 2026,"133,83"
DEU,ART-0004,junio 2026,"374,03"
DEU,ART-0005,enero 2026,"673,67"
DEU,ART-0005,febrero 2026,"417,44"
DEU,ART-0005,marzo 2026,"806,51"
DEU,ART-0005,abril 2026,"444,98"
DEU,ART-0005,junio 2026,"98,03"
FIN,ART-0003,enero 2026,"43,77"
FIN,ART-0003,febrero 2026,"133,26"
FIN,ART-0003,marzo 2026,"278,38"
FIN,ART-0003,abril 2026,"679,19"
FIN,ART-0003,mayo 2026,"301,48"
FIN,ART-0003,junio 2026,"173,54"
FIN,ART-0005,enero 2026,"334,47"
FIN,ART-0005,febrero 2026,"343,07"
FIN,ART-0005,marzo 2026,"314,33"
FIN,ART-0005,abril 2026,"781,94"
FIN,ART-0005,mayo 2026,"628,21"
FIN,ART-0005,junio 2026,"311,35"
SWE,ART-0001,enero 2026,"126,08"
SWE,ART-0001,febrero 2026,"690,93"
SWE,ART-0001,abril 2026,"13,43"
SWE,ART-0001,mayo 2026,"550,67"
SWE,ART-0001,junio 2026,"833,72"
SWE,ART-0002,febrero 2026,"806,61"
SWE,ART-0002,marzo 2026,"798,59"
SWE,ART-0002,abril 2026,"532,64"
SWE,ART-0002,mayo 2026,"673,51"
SWE,ART-0002,junio 2026,"654,03"
SWE,ART-0004,enero 2026,"636,36"
SWE,ART-0004,febrero 2026,"549,98"
SWE,ART-0004,marzo 2026,"331,82"
SWE,ART-0004,abril 2026,"824,37"
SWE,ART-0004,mayo 2026,"549,06"
SWE,ART-0004,junio 2026,"238,22"
SWE,ART-0005,enero 2026,"814,22"
SWE,ART-0005,febrero 2026,"329,89"
SWE,ART-0005,marzo 2026,"590,81"
SWE,ART-0005,abril 2026,"825,79"
SWE,ART-0005,junio 2026,"626,56"
