country,product,period,sales
CZ,ART-0001,2026-01,442.27
CZ,ART-0001,2026-03,180.31
CZ,ART-0001,2026-04,273.54
CZ,ART-0001,2026-05,303.63
CZ,ART-0001,2026-06,584.26
CZ,ART-0002,2026-01,808.17
CZ,ART-0002,2026-02,844.40
CZ,ART-0002,2026-03,454.96
CZ,ART-0002,2026-04,367.63
CZ,ART-0002,2026-06,492.26
CZ,ART-0003,2026-01,396.67
CZ,ART-0003,2026-02,319.86
CZ,ART-0003,2026-04,810.59
CZ,ART-0003,2026-05,144.54
CZ,ART-0003,2026-06,281.62
CZ,ART-0004,2026-01,675.78
CZ,ART-0004,2026-02,307.19
CZ,ART-0004,2026-03,287.39
CZ,ART-0004,2026-04,213.08
CZ,ART-0004,2026-05,658.98
CZ,ART-0004,2026-06,539.41
DE,ART-0002,2026-01,527.52
DE,ART-0002,2026-02,218.69
DE,ART-0002,2026-03,643.80
DE,ART-0002,2026-05,713.80
DE,ART-0002,2026-06,161.36
DE,ART-0003,2026-01,857.80
DE,ART-0003,2026-03,827.67
DE,ART-0003,2026-04,19.76
DE,ART-0003,2026-05,49.26
DE,ART-0003,2026-06,203.89
DE,ART-0004,2026-01,484.26
DE,ART-0004,2026-02,198.14
DE,ART-0004,2026-03,543.68
DE,ART-0004,2026-04,94.61
DE,ART-0004,2026-05,368.78
DE,ART-0005,2026-01,217.82
DE,ART-0005,2026-02,434.34
DE,ART-0005,2026-03,630.07
DE,ART-0005,2026-04,179.64
DE,ART-0005,2026-05,402.98
DE,ART-0005,2026-06,254.39
FI,ART-0001,2026-01,181.82
FI,ART-0001,2026-02,838.99
FI,ART-0001,2026-03,808.75
FI,ART-0001,2026-04,55.71
FI,ART-0001,2026-05,616.10
FI,ART-0001,2026-06,819.27
FI,ART-0002,2026-01,450.15
FI,ART-0002,2026-02,490.70
FI,ART-0002,2026-03,484.59
FI,ART-0002,2026-04,149.78
FI,ART-0002,2026-05,797.90
FI,ART-0002,2026-06,294.95
FI,ART-0004,2026-01,693.62
FI,ART-0004,2026-02,102.40
FI,ART-0004,2026-03,448.42
FI,ART-0004,2026-04,366.68
FI,ART-0004,2026-05,87.94
FI,ART-0004,2026-06,288.47
FI,ART-0005,2026-01,224.75
FI,ART-0005,2026-02,724.64
FI,ART-0005,2026-03,333.15
FI,ART-0005,2026-04,131.54
FI,ART-0005,2026-05,559.65
FI,ART-0005,2026-06,818.52
SE,ART-0001,2026-01,250.76
SE,ART-0001,2026-02,818.59
SE,ART-0001,2026-03,179.67
SE,ART-0001,2026-04,818.89
SE,ART-0001,2026-05,339.29
SE,ART-0001,2026-06,380.44
SE,ART-0005,2026-02,240.02
SE,ART-0005,2026-03,71.02
SE,ART-0005,2026-04,830.31
SE,ART-0005,2026-05,874.71
SE,ART-0005,2026-06,233.43
