country,product,year,month,sales
CZE,ART-0001,2026,Jan,"442,27"
CZE,ART-0001,2026,Mar,"180,31"
CZE,ART-0001,2026,Apr,"273,54"
CZE,ART-0001,2026,May,"303,63"
CZE,ART-0001,2026,Jun,"584,26"
CZE,ART-0002,2026,Jan,"808,17"
CZE,ART-0002,2026,Feb,"844,40"
CZE,ART-0002,2026,Mar,"454,96"
CZE,ART-0002,2026,Apr,"367,63"
CZE,ART-0002,2026,Jun,"492,26"
CZE,ART-0003,2026,Jan,"396,67"
CZE,ART-0003,2026,Feb,"319,86"
CZE,ART-0003,2026,Apr,"810,59"
CZE,ART-0003,2026,May,"144,54"
CZE,ART-0003,2026,Jun,"281,62"
CZE,ART-0004,2026,Jan,"675,78"
CZE,ART-0004,2026,Feb,"307,19"
CZE,ART-0004,2026,Mar,"287,39"
CZE,ART-0004,2026,Apr,"213,08"
CZE,ART-0004,2026,May,"658,98"
CZE,ART-0004,2026,Jun,"539,41"
DEU,ART-0002,2026,Jan,"527,52"
DEU,ART-0002,2026,Feb,"218,69"
DEU,ART-0002,2026,Mar,"643,80"
DEU,ART-0002,2026,May,"713,80"
DEU,ART-0002,2026,Jun,"161,36"
DEU,ART-0003,2026,Jan,"857,80"
DEU,ART-0003,2026,Mar,"827,67"
DEU,ART-0003,2026,Apr,"19,76"
DEU,ART-0003,2026,May,"49,26"
DEU,ART-0003,2026,Jun,"203,89"
DEU,ART-0004,2026,Jan,"484,26"
DEU,ART-0004,2026,Feb,"198,14"
DEU,ART-0004,2026,Mar,"543,68"
DEU,ART-0004,2026,Apr,"94,61"
DEU,ART-0004,2026,May,"368,78"
DEU,ART-0005,2026,Jan,"217,82"
DEU,ART-0005,2026,Feb,"434,34"
DEU,ART-0005,2026,Mar,"630,07"
DEU,ART-0005,2026,Apr,"179,64"
DEU,ART-0005,2026,May,"402,98"
DEU,ART-0005,2026,Jun,"254,39"
FIN,ART-0001,2026,Jan,"181,82"
FIN,ART-0001,2026,Feb,"838,99"
FIN,ART-0001,2026,Mar,"808,75"
FIN,ART-0001,2026,Apr,"55,71"
FIN,ART-0001,2026,May,"616,10"
FIN,ART-0001,2026,Jun,"819,27"
FIN,ART-0002,2026,Jan,"450,15"
FIN,ART-0002,2026,Feb,"490,70"
FIN,ART-0002,2026,Mar,"484,59"
FIN,ART-0002,2026,Apr,"149,78"
FIN,ART-0002,2026,May,"797,90"
FIN,ART-0002,2026,Jun,"294,95"
FIN,ART-0004,2026,Jan,"693,62"
FIN,ART-0004,2026,Feb,"102,40"
FIN,ART-0004,2026,Mar,"448,42"
FIN,ART-0004,2026,Apr,"366,68"
FIN,ART-0004,2026,May,"87,94"
FIN,ART-0004,2026,Jun,"288,47"
FIN,ART-0005,2026,Jan,"224,75"
FIN,ART-0005,2026,Feb,"724,64"
FIN,ART-0005,2026,Mar,"333,15"
FIN,ART-0005,2026,Apr,"131,54"
FIN,ART-0005,2026,May,"559,65"
FIN,ART-0005,2026,Jun,"818,52"
SWE,ART-0001,2026,Jan,"250,76"
SWE,ART-0001,2026,Feb,"818,59"
SWE,ART-0001,2026,Mar,"179,67"
SWE,ART-0001,2026,Apr,"818,89"
SWE,ART-0001,2026,May,"339,29"
SWE,ART-0001,2026,Jun,"380,44"
SWE,ART-0005,2026,Feb,"240,02"
SWE,ART-0005,2026,Mar,"71,02"
SWE,ART-0005,2026,Apr,"830,31"
SWE,ART-0005,2026,May,"874,71"
SWE,ART-0005,2026,Jun,"233,43"
