kausi,tuote,maa,myynti
01/2026,ART-0001,Česko,"442,27"
03/2026,ART-0001,Česko,"180,31"
04/2026,ART-0001,Česko,"273,54"
05/2026,ART-0001,Česko,"303,63"
06/2026,ART-0001,Česko,"584,26"
01/2026,ART-0002,Česko,"808,17"
02/2026,ART-0002,Česko,"844,40"
03/2026,ART-0002,Česko,"454,96"
04/2026,ART-0002,Česko,"367,63"
06/2026,ART-0002,Česko,"492,26"
01/2026,ART-0003,Česko,"396,67"
02/2026,ART-0003,Česko,"319,86"
04/2026,ART-0003,Česko,"810,59"
05/2026,ART-0003,Česko,"144,54"
06/2026,ART-0003,Česko,"281,62"
01/2026,ART-0004,Česko,"675,78"
02/2026,ART-0004,Česko,"307,19"
03/2026,ART-0004,Česko,"287,39"
04/2026,ART-0004,Česko,"213,08"
05/2026,ART-0004,Česko,"658,98"
06/2026,ART-0004,Česko,"539,41"
01/2026,ART-0002,Deutschland,"527,52"
02/2026,ART-0002,Deutschland,"218,69"
03/2026,ART-0002,Deutschland,"643,80"
05/2026,ART-0002,Deutschland,"713,80"
06/2026,ART-0002,Deutschland,"161,36"
01/2026,ART-0003,Deutschland,"857,80"
03/2026,ART-0003,Deutschland,"827,67"
04/2026,ART-0003,Deutschland,"19,76"
05/2026,ART-0003,Deutschland,"49,26"
06/2026,ART-0003,Deutschland,"203,89"
01/2026,ART-0004,Deutschland,"484,26"
02/2026,ART-0004,Deutschland,"198,14"
03/2026,ART-0004,Deutschland,"543,68"
04/2026,ART-0004,Deutschland,"94,61"
05/2026,ART-0004,Deutschland,"368,78"
01/2026,ART-0005,Deutschland,"217,82"
02/2026,ART-0005,Deutschland,"434,34"
03/2026,ART-0005,Deutschland,"630,07"
04/2026,ART-0005,Deutschland,"179,64"
05/2026,ART-0005,Deutschland,"402,98"
06/2026,ART-0005,Deutschland,"254,39"
01/2026,ART-0001,Suomi,"181,82"
02/2026,ART-0001,Suomi,"838,99"
03/2026,ART-0001,Suomi,"808,75"
04/2026,ART-0001,Suomi,"55,71"
05/2026,ART-0001,Suomi,"616,10"
06/2026,ART-0001,Suomi,"819,27"
01/2026,ART-0002,Suomi,"450,15"
02/2026,ART-0002,Suomi,"490,70"
03/2026,ART-0002,Suomi,"484,59"
04/2026,ART-0002,Suomi,"149,78"
05/2026,ART-0002,Suomi,"797,90"
06/2026,ART-0002,Suomi,"294,95"
01/2026,ART-0004,Suomi,"693,62"
02/2026,ART-0004,Suomi,"102,40"
03/2026,ART-0004,Suomi,"448,42"
04/2026,ART-0004,Suomi,"366,68"
05/2026,ART-0004,Suomi,"87,94"
06/2026,ART-0004,Suomi,"288,47"
01/2026,ART-0005,Suomi,"224,75"
02/2026,ART-0005,Suomi,"724,64"
03/2026,ART-0005,Suomi,"333,15"
04/2026,ART-0005,Suomi,"131,54"
05/2026,ART-0005,Suomi,"559,65"
06/2026,ART-0005,Suomi,"818,52"
01/2026,ART-0001,Sverige,"250,76"
02/2026,ART-0001,Sverige,"818,59"
03/2026,ART-0001,Sverige,"179,67"
04/2026,ART-0001,Sverige,"818,89"
05/2026,ART-0001,Sverige,"339,29"
06/2026,ART-0001,Sverige,"380,44"
02/2026,ART-0005,Sverige,"240,02"
03/2026,ART-0005,Sverige,"71,02"
04/2026,ART-0005,Sverige,"830,31"
05/2026,ART-0005,Sverige,"874,71"
06/2026,ART-0005,Sverige,"233,43"
