Periode,Produkt,Land,Umsatz
2026-01,ART-0001,Czech Republic,"442,27"
2026-03,ART-0001,Czech Republic,"180,31"
2026-04,ART-0001,Czech Republic,"273,54"
2026-05,ART-0001,Czech Republic,"303,63"
2026-06,ART-0001,Czech Republic,"584,26"
2026-01,ART-0002,Czech Republic,"808,17"
2026-02,ART-0002,Czech Republic,"844,40"
2026-03,ART-0002,Czech Republic,"454,96"
2026-04,ART-0002,Czech Republic,"367,63"
2026-06,ART-0002,Czech Republic,"492,26"
2026-01,ART-0003,Czech Republic,"396,67"
2026-02,ART-0003,Czech Republic,"319,86"
2026-04,ART-0003,Czech Republic,"810,59"
2026-05,ART-0003,Czech Republic,"144,54"
2026-06,ART-0003,Czech Republic,"281,62"
2026-01,ART-0004,Czech Republic,"675,78"
2026-02,ART-0004,Czech Republic,"307,19"
2026-03,ART-0004,Czech Republic,"287,39"
2026-04,ART-0004,Czech Republic,"213,08"
2026-05,ART-0004,Czech Republic,"658,98"
2026-06,ART-0004,Czech Republic,"539,41"
2026-01,ART-0002,Germany,"527,52"
2026-02,ART-0002,Germany,"218,69"
2026-03,ART-0002,Germany,"643,80"
2026-05,ART-0002,Germany,"713,80"
2026-06,ART-0002,Germany,"161,36"
2026-01,ART-0003,Germany,"857,80"
2026-03,ART-0003,Germany,"827,67"
2026-04,ART-0003,Germany,"19,76"
2026-05,ART-0003,Germany,"49,26"
2026-06,ART-0003,Germany,"203,89"
2026-01,ART-0004,Germany,"484,26"
2026-02,ART-0004,Germany,"198,14"
2026-03,ART-0004,Germany,"543,68"
2026-04,ART-0004,Germany,"94,61"
2026-05,ART-0004,Germany,"368,78"
2026-01,ART-0005,Germany,"217,82"
2026-02,ART-0005,Germany,"434,34"
2026-03,ART-0005,Germany,"630,07"
2026-04,ART-0005,Germany,"179,64"
2026-05,ART-0005,Germany,"402,98"
2026-06,ART-0005,Germany,"254,39"
2026-01,ART-0001,Finland,"181,82"
2026-02,ART-0001,Finland,"838,99"
2026-03,ART-0001,Finland,"808,75"
2026-04,ART-0001,Finland,"55,71"
2026-05,ART-0001,Finland,"616,10"
2026-06,ART-0001,Finland,"819,27"
2026-01,ART-0002,Finland,"450,15"
2026-02,ART-0002,Finland,"490,70"
2026-03,ART-0002,Finland,"484,59"
2026-04,ART-0002,Finland,"149,78"
2026-05,ART-0002,Finland,"797,90"
2026-06,ART-0002,Finland,"294,95"
2026-01,ART-0004,Finland,"693,62"
2026-02,ART-0004,Finland,"102,40"
2026-03,ART-0004,Finland,"448,42"
2026-04,ART-0004,Finland,"366,68"
2026-05,ART-0004,Finland,"87,94"
2026-06,ART-0004,Finland,"288,47"
2026-01,ART-0005,Finland,"224,75"
2026-02,ART-0005,Finland,"724,64"
2026-03,ART-0005,Finland,"333,15"
2026-04,ART-0005,Finland,"131,54"
2026-05,ART-0005,Finland,"559,65"
2026-06,ART-0005,Finland,"818,52"
2026-01,ART-0001,Sweden,"250,76"
2026-02,ART-0001,Sweden,"818,59"
2026-03,ART-0001,Sweden,"179,67"
2026-04,ART-0001,Sweden,"818,89"
2026-05,ART-0001,Sweden,"339,29"
2026-06,ART-0001,Sweden,"380,44"
2026-02,ART-0005,Sweden,"240,02"
2026-03,ART-0005,Sweden,"71,02"
2026-04,ART-0005,Sweden,"830,31"
2026-05,ART-0005,Sweden,"874,71"
2026-06,ART-0005,Sweden,"233,43"
