Land,Produkt,Monat,Umsatz
Tschechien,ART-0001,Januar 2026,"442,27"
Tschechien,ART-0001,März 2026,"180,31"
Tschechien,ART-0001,April 2026,"273,54"
Tschechien,ART-0001,Mai 2026,"303,63"
Tschechien,ART-0001,Juni 2026,"584,26"
Tschechien,ART-0002,Januar 2026,"808,17"
Tschechien,ART-0002,Februar 2026,"844,40"
Tschechien,ART-0002,März 2026,"454,96"
Tschechien,ART-0002,April 2026,"367,63"
Tschechien,ART-0002,Juni 2026,"492,26"
Tschechien,ART-0003,Januar 2026,"396,67"
Tschechien,ART-0003,Februar 2026,"319,86"
Tschechien,ART-0003,April 2026,"810,59"
Tschechien,ART-0003,Mai 2026,"144,54"
Tschechien,ART-0003,Juni 2026,"281,62"
Tschechien,ART-0004,Januar 2026,"675,78"
Tschechien,ART-0004,Februar 2026,"307,19"
Tschechien,ART-0004,März 2026,"287,39"
Tschechien,ART-0004,April 2026,"213,08"
Tschechien,ART-0004,Mai 2026,"658,98"
Tschechien,ART-0004,Juni 2026,"539,41"
Deutschland,ART-0002,Januar 2026,"527,52"
Deutschland,ART-0002,Februar 2026,"218,69"
Deutschland,ART-0002,März 2026,"643,80"
Deutschland,ART-0002,Mai 2026,"713,80"
Deutschland,ART-0002,Juni 2026,"161,36"
Deutschland,ART-0003,Januar 2026,"857,80"
Deutschland,ART-0003,März 2026,"827,67"
Deutschland,ART-0003,April 2026,"19,76"
Deutschland,ART-0003,Mai 2026,"49,26"
Deutschland,ART-0003,Juni 2026,"203,89"
Deutschland,ART-0004,Januar 2026,"484,26"
Deutschland,ART-0004,Februar 2026,"198,14"
Deutschland,ART-0004,März 2026,"543,68"
Deutschland,ART-0004,April 2026,"94,61"
Deutschland,ART-0004,Mai 2026,"368,78"
Deutschland,ART-0005,Januar 2026,"217,82"
Deutschland,ART-0005,Februar 2026,"434,34"
Deutschland,ART-0005,März 2026,"630,07"
Deutschland,ART-0005,April 2026,"179,64"
Deutschland,ART-0005,Mai 2026,"402,98"
Deutschland,ART-0005,Juni 2026,"254,39"
Finnland,ART-0001,Januar 2026,"181,82"
Finnland,ART-0001,Februar 2026,"838,99"
Finnland,ART-0001,März 2026,"808,75"
Finnland,ART-0001,April 2026,"55,71"
Finnland,ART-0001,Mai 2026,"616,10"
Finnland,ART-0001,Juni 2026,"819,27"
Finnland,ART-0002,Januar 2026,"450,15"
Finnland,ART-0002,Februar 2026,"490,70"
Finnland,ART-0002,März 2026,"484,59"
Finnland,ART-0002,April 2026,"149,78"
Finnland,ART-0002,Mai 2026,"797,90"
Finnland,ART-0002,Juni 2026,"294,95"
Finnland,ART-0004,Januar 2026,"693,62"
Finnland,ART-0004,Februar 2026,"102,40"
Finnland,ART-0004,März 2026,"448,42"
Finnland,ART-0004,April 2026,"366,68"
Finnland,ART-0004,Mai 2026,"87,94"
Finnland,ART-0004,Juni 2026,"288,47"
Finnland,ART-0005,Januar 2026,"224,75"
Finnland,ART-0005,Februar 2026,"724,64"
Finnland,ART-0005,März 2026,"333,15"
Finnland,ART-0005,April 2026,"131,54"
Finnland,ART-0005,Mai 2026,"559,65"
Finnland,ART-0005,Juni 2026,"818,52"
Schweden,ART-0001,Januar 2026,"250,76"
Schweden,ART-0001,Februar 2026,"818,59"
Schweden,ART-0001,März 2026,"179,67"
Schweden,ART-0001,April 2026,"818,89"
Schweden,ART-0001,Mai 2026,"339,29"
Schweden,ART-0001,Juni 2026,"380,44"
Schweden,ART-0005,Februar 2026,"240,02"
Schweden,ART-0005,März 2026,"71,02"
Schweden,ART-0005,April 2026,"830,31"
Schweden,ART-0005,Mai 2026,"874,71"
Schweden,ART-0005,Juni 2026,"233,43"
