kuukausi,vuosi,tuote,maa,myynti
1,2026,ART-0001,CZE,442.27
3,2026,ART-0001,CZE,180.31
4,2026,ART-0001,CZE,273.54
5,2026,ART-0001,CZE,303.63
6,2026,ART-0001,CZE,584.26
1,2026,ART-0002,CZE,808.17
2,2026,ART-0002,CZE,844.40
3,2026,ART-0002,CZE,454.96
4,2026,ART-0002,CZE,367.63
6,2026,ART-0002,CZE,492.26
1,2026,ART-0003,CZE,396.67
2,2026,ART-0003,CZE,319.86
4,2026,ART-0003,CZE,810.59
5,2026,ART-0003,CZE,144.54
6,2026,ART-0003,CZE,281.62
1,2026,ART-0004,CZE,675.78
2,2026,ART-0004,CZE,307.19
3,2026,ART-0004,CZE,287.39
4,2026,ART-0004,CZE,213.08
5,2026,ART-0004,CZE,658.98
6,2026,ART-0004,CZE,539.41
1,2026,ART-0002,DEU,527.52
2,2026,ART-0002,DEU,218.69
3,2026,ART-0002,DEU,643.80
5,2026,ART-0002,DEU,713.80
6,2026,ART-0002,DEU,161.36
1,2026,ART-0003,DEU,857.80
3,2026,ART-0003,DEU,827.67
4,2026,ART-0003,DEU,19.76
5,2026,ART-0003,DEU,49.26
6,2026,ART-0003,DEU,203.89
1,2026,ART-0004,DEU,484.26
2,2026,ART-0004,DEU,198.14
3,2026,ART-0004,DEU,543.68
4,2026,ART-0004,DEU,94.61
5,2026,ART-0004,DEU,368.78
1,2026,ART-0005,DEU,217.82
2,2026,ART-0005,DEU,434.34
3,2026,ART-0005,DEU,630.07
4,2026,ART-0005,DEU,179.64
5,2026,ART-0005,DEU,402.98
6,2026,ART-0005,DEU,254.39
1,2026,ART-0001,FIN,181.82
2,2026,ART-0001,FIN,838.99
3,2026,ART-0001,FIN,808.75
4,2026,ART-0001,FIN,55.71
5,2026,ART-0001,FIN,616.10
6,2026,ART-0001,FIN,819.27
1,2026,ART-0002,FIN,450.15
2,2026,ART-0002,FIN,490.70
3,2026,ART-0002,FIN,484.59
4,2026,ART-0002,FIN,149.78
5,2026,ART-0002,FIN,797.90
6,2026,ART-0002,FIN,294.95
1,2026,ART-0004,FIN,693.62
2,2026,ART-0004,FIN,102.40
3,2026,ART-0004,FIN,448.42
4,2026,ART-0004,FIN,366.68
5,2026,ART-0004,FIN,87.94
6,2026,ART-0004,FIN,288.47
1,2026,ART-0005,FIN,224.75
2,2026,ART-0005,FIN,724.64
3,2026,ART-0005,FIN,333.15
4,2026,ART-0005,FIN,131.54
5,2026,ART-0005,FIN,559.65
6,2026,ART-0005,FIN,818.52
1,2026,ART-0001,SWE,250.76
2,2026,ART-0001,SWE,818.59
3,2026,ART-0001,SWE,179.67
4,2026,ART-0001,SWE,818.89
5,2026,ART-0001,SWE,339.29
6,2026,ART-0001,SWE,380.44
2,2026,ART-0005,SWE,240.02
3,2026,ART-0005,SWE,71.02
4,2026,ART-0005,SWE,830.31
5,2026,ART-0005,SWE,874.71
6,2026,ART-0005,SWE,233.43
